,p_value,q_value,log2_fold_change
ENSG00000000003,0.005291157026216155,0.011613879149055352,-0.7602003401081817
ENSG00000000419,3.0092455993684644e-10,2.355371161460498e-09,-0.7177334079816058
ENSG00000000457,8.937216432471291e-12,8.605031594160302e-11,-0.844797300266427
ENSG00000000460,2.094245933385703e-07,1.0170783559758738e-06,-0.7031669803136793
ENSG00000000938,0.0014602714514475995,0.003700364625605988,1.989299760927506
ENSG00000000971,0.001120382490415272,0.0029261962466658738,2.7224337812397823
ENSG00000001036,0.1994164406261165,0.2727237938736662,-0.21663251361311986
ENSG00000001084,0.31327442952801665,0.398311790680308,0.4403127660513354
ENSG00000001167,1.3329923598111145e-07,6.714427359329415e-07,-0.8856024143978103
ENSG00000001460,0.006278276231605126,0.013535232952635453,0.8260850041024419
ENSG00000001461,0.09780731648721208,0.1482788782775597,0.5695549018735434
ENSG00000001497,3.4142710260210597e-05,0.00012134470754613142,-0.5076500538589062
ENSG00000001561,9.51774273675499e-10,6.881882430289592e-09,-1.4767686524697516
ENSG00000001617,9.382796275211645e-06,3.587185588277142e-05,-1.4638220293942972
ENSG00000001626,5.6111181134504984e-05,0.00019301987136222904,6.825966194792067
ENSG00000001629,1.4451273116072104e-06,6.071980622394753e-06,-0.5167168900302248
ENSG00000001630,0.01336791026642284,0.026435876715131205,-0.7540761754853345
ENSG00000001631,0.1835598426441371,0.25391194801118333,-0.14406241492051575
ENSG00000002016,0.06865592432236176,0.10939559186794803,0.5155278159315535
ENSG00000002330,0.09784514926677251,0.14832113762757748,0.2970071803555316
ENSG00000002549,0.13654590687541704,0.19683066707726088,-0.3666379961636373
ENSG00000002586,0.000466933383881821,0.0013272848765113977,1.3854789564313508
ENSG00000002587,0.01212109588603588,0.024256848478100824,2.0207656524941733
ENSG00000002822,0.759112720904144,0.8124000558892962,-0.034216165909626936
ENSG00000002834,1.0355538484307148e-74,8.665491332795224e-73,-2.5924646035423624
ENSG00000002919,5.878499256954832e-08,3.1713236665100405e-07,-0.7161140274426468
ENSG00000002933,0.00015695624854353393,0.0004919746048097513,-1.7011997342325063
ENSG00000003056,1.232830193805039e-06,5.234608248781657e-06,-0.5493031690395584
ENSG00000003096,7.002346854851341e-07,3.091285014908439e-06,2.538920337600318
ENSG00000003137,0.01059249413359496,0.021518712509533133,4.160309474392793
ENSG00000003147,0.004090864913536998,0.009264624127586071,-0.8068311699587398
ENSG00000003249,0.007383266352695387,0.015616835035983781,-1.0857979643164581
ENSG00000003393,0.8636642822195036,0.8963405437332432,-0.010595715623994036
ENSG00000003400,0.011269457894141586,0.022735822204149925,0.9524472547376973
ENSG00000003402,0.0003296585401735265,0.0009652752979983936,0.9697348729593329
ENSG00000003436,9.198632166700741e-05,0.0003030604426520848,1.9203021794826889
ENSG00000003509,2.7948343476026234e-07,1.3261885188767466e-06,0.8670163508413288
ENSG00000003756,4.517811499614082e-22,1.2940923516683029e-20,1.6618101233711142
ENSG00000003987,0.041155615077395666,0.07014124253314961,0.8103090568635488
ENSG00000003989,0.0,0.0,-3.340375982613975
ENSG00000004059,3.525064319849473e-07,1.643375056155177e-06,-0.5221414343397739
ENSG00000004139,0.4106569401694487,0.4970126857742698,-0.13134691097503595
ENSG00000004142,0.03173186387698772,0.055967568081436596,0.2436464398298262
ENSG00000004399,0.0019079760349022571,0.004697405461135392,-0.7079317810577549
ENSG00000004455,1.6186353588798873e-09,1.1313737057961484e-08,0.9066834955692911
ENSG00000004468,0.005981288908508982,0.012968165690282574,3.568136353953617
ENSG00000004478,0.0013005803309450751,0.003348685225484338,-0.8997578970571019
ENSG00000004487,2.318359260051152e-11,2.1107555732556182e-10,0.7676003438224442
ENSG00000004534,2.6183931878888635e-08,1.504086638395859e-07,1.5210661329517423
ENSG00000004660,0.4590173100466214,0.5434867116966952,-0.19117631294667545
ENSG00000004700,0.36354516160878014,0.45057335981616725,0.14986893858214628
ENSG00000004766,0.7177587045427056,0.777811269855482,0.06261160333809693
ENSG00000004776,3.607622500096998e-08,2.017844465170907e-07,4.892623319558318
ENSG00000004777,1.8886528524324386e-14,2.5644014801259044e-13,2.6224998569826217
ENSG00000004779,0.09859241843609196,0.1493571293624555,-0.19042281110972814
ENSG00000004799,0.06496214378173601,0.10439716374754489,3.9161557569223695
ENSG00000004838,0.0,0.0,-2.392712370092017
ENSG00000004864,0.02520036823772615,0.04566417091252201,-0.4034550895870968
ENSG00000004866,0.2957474365752767,0.3797550058438574,0.23143529148400635
ENSG00000004897,0.031796721341515205,0.056055410626330814,-0.24295284498700784
ENSG00000004961,0.0021973020830221967,0.005326955489358011,0.4931625885791106
ENSG00000004975,6.201388555225781e-15,8.890248559200002e-14,1.3406340168450792
ENSG00000005007,0.6895278460507662,0.7534676301757878,-0.04092072418965315
ENSG00000005020,0.014564479707778633,0.02849572116739298,1.1010062165635333
ENSG00000005022,0.044250876654988905,0.07462826175000677,-0.3681113833987196
ENSG00000005059,0.06814286467302784,0.10868272505672445,0.702356688486913
ENSG00000005075,1.7978735052362217e-14,2.445600535204888e-13,-0.8654233841017817
ENSG00000005100,0.005018781257564403,0.011094500865452921,0.4124355306078319
ENSG00000005102,0.4833927071626386,0.5664490892288178,1.1188880065051954
ENSG00000005108,0.23523635580564278,0.3132909084160452,-0.39661478600201744
ENSG00000005156,4.1234578129914144e-08,2.2823821673915687e-07,-0.7139885109887247
ENSG00000005175,0.44977978851141853,0.5342480023825821,0.13980633776778129
ENSG00000005187,0.11926732753877219,0.1759769037830621,1.3760365363136986
ENSG00000005189,0.04458846049846453,0.07511254457414941,1.0985307956888222
ENSG00000005194,0.05897238538326375,0.09587357348654373,-0.21983921610633422
ENSG00000005206,1.1173031960909106e-12,1.2103440804199355e-11,1.279346532792326
ENSG00000005238,0.0027193354102087596,0.006432348885986894,0.8563066942827834
ENSG00000005243,0.049015741809911514,0.08161984061024394,0.6651319326720979
ENSG00000005249,0.00457070671309498,0.010219254952198997,1.7686788017807689
ENSG00000005302,1.2503734621572427e-12,1.351546641424683e-11,1.384844724976457
ENSG00000005339,2.5273004523527925e-07,1.2088677019201942e-06,-0.5811538338468881
ENSG00000005379,0.0002291040277618831,0.0006928943134037053,1.4768665304121733
ENSG00000005436,8.790462457956517e-07,3.822888709817878e-06,0.8737045655315084
ENSG00000005448,0.6587973250713178,0.7269268950986946,0.14785860172343726
ENSG00000005469,0.0001656403068906835,0.0005169101971792858,1.1157052493482247
ENSG00000005471,0.654278431403944,0.722939987972083,0.6117618506449344
ENSG00000005483,0.865131436886977,0.897300518935417,-0.010018615573724682
ENSG00000005486,0.8014065498137971,0.8478759068265103,0.0787113733514646
ENSG00000005513,0.00011099980674482672,0.00035918794730918836,3.855366508531105
ENSG00000005700,0.15948973141542058,0.2249833837894393,0.22375199361511572
ENSG00000005801,0.029587004166577648,0.052639563671903256,0.5010747646460241
ENSG00000005810,3.250836044685473e-05,0.00011603176322565805,0.9343687115176181
ENSG00000005812,3.55412091279581e-11,3.138033846834238e-10,1.0823132381334308
ENSG00000005844,0.22137610374783265,0.297814041304549,-0.42739669189924406
ENSG00000005882,8.419966803447824e-08,4.4036308124071397e-07,-1.1441330007793973
ENSG00000005884,0.1672146941275799,0.2342389606912727,0.5790259455864998
ENSG00000005889,0.309643838078315,0.3945376362854151,-0.2392341761744241
ENSG00000005893,0.06610167354699192,0.1058327664436537,-0.3113086409273508
ENSG00000005961,0.9013765895835644,0.9266203158802881,0.3915656830824663
ENSG00000006007,1.4895978711042041e-12,1.596227358999793e-11,-1.0296454517673674
ENSG00000006015,4.291138628899388e-12,4.301245617594642e-11,1.9080659922420942
ENSG00000006016,0.6183826350298999,0.6912946073829449,0.9096198785975468
ENSG00000006025,0.8598064531626014,0.893208056901726,0.0027086125557194748
ENSG00000006042,0.10977100643648044,0.1637823440720601,0.5981666594325713
ENSG00000006047,0.715683540532382,0.7761271449748693,0.6811468123685965
ENSG00000006062,0.010012367408380048,0.020479842426231916,0.9688710666633261
ENSG00000006071,0.7495270097143937,0.8040801015913818,0.5092266957776554
ENSG00000006118,1.2323252286357078e-18,2.5248258982845762e-17,-2.3830465083609087
ENSG00000006125,5.525618083566941e-10,4.1525772631044195e-09,-0.8579825336831273
ENSG00000006194,0.012073660194775815,0.024181413016160516,0.3686748623703668
ENSG00000006210,1.4190310205914336e-05,5.326730607789668e-05,4.1910877010998355
ENSG00000006282,0.5192426456307939,0.6003352640433653,-0.1413341637472427
ENSG00000006283,0.13201380095196594,0.19137183116102507,2.3671079149425385
ENSG00000006327,0.14653210774718542,0.20910095275860574,1.6153594644497786
