,p_value,q_value,log2_fold_change
ENSG00000000003,0.00013705846368183115,0.00045336127393756935,-1.0254712403258746
ENSG00000000419,0.0005455410352600415,0.001578444778593302,-0.41544877641287953
ENSG00000000457,2.6497994344800905e-14,4.198804529423505e-13,1.2608411404604378
ENSG00000000460,0.005083624817989501,0.011597578750797,0.48048353118888426
ENSG00000000938,0.6517985576076636,0.7268503043771917,0.36626404465104734
ENSG00000000971,0.0037580012970487207,0.0088460882477799,2.3812474206498484
ENSG00000001036,0.00015112948003406877,0.0004955037651568246,-0.650487355201136
ENSG00000001084,0.0004034437225970519,0.0012074129491828586,1.4925234308822295
ENSG00000001167,0.758255331014949,0.8174153349035395,0.09144074997362828
ENSG00000001460,0.5111413636732834,0.599862166082064,-0.1239385426771432
ENSG00000001461,0.9842838487857156,0.9899998600623428,0.05174781771656733
ENSG00000001497,3.6235813834890133e-07,1.7997080595888247e-06,-0.5999493590404184
ENSG00000001561,0.47878864835691165,0.5689926801608909,0.31081794915732625
ENSG00000001617,0.030488153559957203,0.055218998939149146,1.2591627352555983
ENSG00000001626,0.0016527632229633939,0.004268703953632976,4.680500645114108
ENSG00000001629,6.545532769043867e-07,3.1148789327446773e-06,-0.5377321290984157
ENSG00000001630,0.00016183727291564585,0.0005273607919664286,-1.1329396066708477
ENSG00000001631,0.03206877135840129,0.05768893108495014,0.2718176600543302
ENSG00000002016,1.77880009918725e-07,9.449082552565651e-07,1.4865089209787317
ENSG00000002330,0.5695889518689853,0.6540205662676979,-0.07430860999753303
ENSG00000002549,0.21838690497081595,0.29801859363630817,0.45034727500119376
ENSG00000002586,0.0007930441095149378,0.002212058429068352,1.3246554295988728
ENSG00000002587,0.023049069990912514,0.043535414865475214,1.8075130063325457
ENSG00000002822,0.19163071788418395,0.2662878573453606,0.31506581175619014
ENSG00000002834,0.8985683664716214,0.9272672730078149,0.002922654982100267
ENSG00000002919,0.00013490752832841905,0.00044674247097638986,0.645114537704105
ENSG00000002933,0.6747668476142885,0.7465388245721479,0.004017070285532689
ENSG00000003056,2.7822754453088046e-09,2.0659019320974396e-08,0.830151209796059
ENSG00000003096,7.582143948841473e-05,0.00026399259962130373,-1.267515498599003
ENSG00000003137,0.9548009109699866,0.9689167167800757,0.5946420271171484
ENSG00000003147,0.6744376514877652,0.7462300415176247,-0.06413034005514866
ENSG00000003249,0.0,0.0,-4.194093015445074
ENSG00000003393,2.7848009445202066e-06,1.1834410861234944e-05,0.7537706910714222
ENSG00000003400,3.0551565936393887e-09,2.2550325798938897e-08,2.2791882502141
ENSG00000003402,6.938317173337712e-07,3.296530599581028e-06,1.299374530448483
ENSG00000003436,0.00022630197240874436,0.0007139944670680464,1.802669850976151
ENSG00000003509,7.896318561938476e-15,1.3185612665927533e-13,1.3991308852580082
