,p_value,q_value,log2_fold_change
ENSG00000000003,1.8456816392973984e-11,4.097083162046907e-10,2.8788857839862856
ENSG00000000419,0.0029166205847552438,0.00932654864961987,0.4292077769563493
ENSG00000000457,0.08884331172530036,0.1581069347587002,-0.229600241122887
ENSG00000000460,0.8103251861708327,0.8672697886049114,0.05756901149578993
ENSG00000000938,0.00010559237757133166,0.0005378927715201728,2.474933880065062
ENSG00000000971,0.04885947095213305,0.09763372951865064,1.586682587914295
ENSG00000001036,0.026354150197786676,0.0586763927049376,-0.38755091509992007
ENSG00000001084,0.3289987350691714,0.4469162023579852,-0.24474987747255086
ENSG00000001167,0.40395122422735436,0.5239336019563257,-0.1400835452153703
ENSG00000001460,0.6670890647147557,0.757213959281442,-0.06667140420863601
ENSG00000001461,0.00018274210403447023,0.0008736342638129924,-0.913072494138719
ENSG00000001497,0.11949611702188534,0.2002356466465274,0.23223738830932936
ENSG00000001561,0.05432302266743634,0.10638199087976127,-0.515690225915937
ENSG00000001617,0.0009201467052215761,0.0034829949616964105,-1.1579034731023705
ENSG00000001626,0.9039883536352051,0.936093298510581,0.5873815402716016
ENSG00000001629,0.3170763885074533,0.4339262042280886,0.1368923220726761
ENSG00000001630,0.7096295251746187,0.7918097755048552,-0.04383883843400565
ENSG00000001631,0.005476175646488692,0.015924958269123206,0.35890191435723967
ENSG00000002016,0.007604460027475124,0.02087127917988612,0.7781295431368365
ENSG00000002330,9.733766083450381e-05,0.0005004640863410198,-0.5777789873045075
ENSG00000002549,0.24746761660051897,0.3581451757933084,0.42646337756307534
ENSG00000002586,0.004106102169403717,0.012497015082400566,1.1241808748485227
ENSG00000002587,0.009697011271307404,0.02558217904465529,2.1099201633125753
ENSG00000002822,0.8407545860740183,0.8892752453707534,-0.013391158220520682
ENSG00000002834,9.205832537337703e-13,2.5022057599205306e-11,-1.2003143778865049
ENSG00000002919,0.004065676551892511,0.01239931454554442,-0.41237140352137247
ENSG00000002933,0.5897772799445153,0.6925650547149073,0.6660716798909255
ENSG00000003056,0.07100871558815604,0.13171541951252605,-0.21815034725369897
ENSG00000003096,0.00018376733093951827,0.0008775935858749999,2.0139479645673384
ENSG00000003137,0.009215349164076915,0.024563819935383976,4.276839440457941
ENSG00000003147,0.00019886488820345765,0.000942141383521152,-1.0344698635601388
ENSG00000003249,0.0021243752913167016,0.007141180312381466,-1.244191761563137
ENSG00000003393,0.05786896239602513,0.1118699798687598,0.31841911581034293
ENSG00000003400,0.00022695713290012313,0.0010583990277230225,1.4343747738914756
ENSG00000003402,1.6245684987872895e-05,0.00010116198908627373,1.1572339220502665
ENSG00000003436,2.420458248366821e-10,4.410980884576825e-09,3.2243676525859652
ENSG00000003509,0.000739959212215206,0.0029008224899801766,0.5981882111897513
ENSG00000003756,0.00044014718360416583,0.0018646166950466582,0.5613688659224251
ENSG00000003987,0.00023188913157352244,0.0010772344287664263,1.5384993250531807
ENSG00000003989,6.320159183635395e-16,2.4515304958398233e-14,-2.71059043949828
ENSG00000004059,0.0004695593464260448,0.001972387609987574,-0.3799186982258061
ENSG00000004139,2.4204368785931856e-08,2.8034531342648134e-07,-0.9061931292466675
ENSG00000004142,0.0017678458686143058,0.006112364023447095,-0.31784590883004044
ENSG00000004399,2.109036563279448e-05,0.0001283780123009701,-0.938250579313256
ENSG00000004455,0.2619809776736705,0.3748517447117505,0.17267425342320208
ENSG00000004468,0.06762664867469932,0.12683189775996556,2.3049110727624518
ENSG00000004478,7.183909043174883e-08,7.446369185670834e-07,-1.362627719846279
ENSG00000004487,1.5624300582487636e-10,2.9533497103572755e-09,-0.6194311854100298
ENSG00000004534,0.026100941914045894,0.05823996661393528,0.6072286310073096
ENSG00000004660,0.3361806746174873,0.4543930261730919,-0.28735235029168216
ENSG00000004700,0.02168539703234872,0.05000835869280604,0.3706083147878912
ENSG00000004766,0.0006205802489279705,0.00251319815328497,0.522871238874392
ENSG00000004776,1.2729254683598568e-05,8.102660192829088e-05,4.09831236054763
ENSG00000004777,4.3020730309837334e-10,7.399466258256664e-09,2.0163927564977624
ENSG00000004779,0.38634704396741565,0.5057933631798457,-0.0970231719582081
ENSG00000004799,0.26585646402170643,0.3790859689453683,2.435054959799621
ENSG00000004838,0.7454188953235544,0.8197736596163868,-0.003186431402321546
ENSG00000004864,0.6321877998156656,0.7292779800382853,-0.06996556994796134
ENSG00000004866,4.189024675563007e-09,5.8532385124306735e-08,-0.953200180986585
ENSG00000004897,0.9644998969266395,0.9766963059842474,0.015817534572527873
ENSG00000004961,0.007278183808408818,0.020115450435104404,0.44684737287542436
ENSG00000004975,1.6525105593270912e-06,1.2210641554038974e-05,0.7806177011370489
ENSG00000005007,0.054117548519277574,0.10602142380568715,-0.24049962241232645
ENSG00000005020,1.45350097664581e-05,9.169799681126362e-05,-1.2325305842428633
ENSG00000005022,0.5429751527136605,0.6515439377805504,0.15733358994741747
ENSG00000005059,0.4220477681386928,0.5413245075713278,0.3366755223503867
ENSG00000005075,0.9729660082288221,0.9823975523704112,0.007142999826452903
ENSG00000005100,0.00013216535349795365,0.0006575160121416231,0.5817206022901065
ENSG00000005102,0.5616650756881244,0.6675711221173487,0.9971706844867414
ENSG00000005108,0.015350617062363636,0.03761267332520256,1.5764503875243614
ENSG00000005156,2.164114642501111e-05,0.00013156933714307772,-0.5776003223032075
ENSG00000005175,0.10798941132022127,0.18494909527592227,0.28820562623410007
ENSG00000005187,0.06948851654845388,0.12947603877773586,1.596539443566513
ENSG00000005189,0.45827831535765856,0.5764762695086837,0.46165365470599967
ENSG00000005194,0.10946726654604813,0.1870690118580193,-0.19092774760020612
ENSG00000005206,1.7662780073013568e-11,3.944334470577768e-10,1.2086991574659354
ENSG00000005238,0.962391142729827,0.9750248993987738,0.05444595614028399
ENSG00000005243,0.001527248742911206,0.005403413307758293,1.1030155952997025
ENSG00000005249,0.1727598826449902,0.2690567181092774,-0.46106616465901834
ENSG00000005302,1.824784664152774e-11,4.056741428739637e-10,1.3177865068028614
ENSG00000005339,0.0003136442809275646,0.0013916388336062183,0.5036345123168977
ENSG00000005379,0.042554394813160826,0.08694755977256935,0.7970995294228077
ENSG00000005436,7.337916459325473e-08,7.574377384729932e-07,1.001680370121629
ENSG00000005448,0.24612936261257823,0.35665890223896807,0.3265015191753959
ENSG00000005469,1.6067731553683633e-07,1.523417323310743e-06,1.5407019277951113
ENSG00000005471,0.9211973252939614,0.9474681784459021,0.3601732101057884
ENSG00000005483,0.001590756790423491,0.005586965902701697,0.5268602048676022
ENSG00000005486,1.4719556154173398e-05,9.274441155516615e-05,-0.7472525991036955
ENSG00000005513,0.00015803081503074122,0.0007689869290698761,3.7568797444768984
ENSG00000005700,0.0014757177774646132,0.005252285853126742,-0.428790284649626
ENSG00000005801,0.8829972309114397,0.9203604569489314,0.06052678349574702
ENSG00000005810,0.0005225848058772071,0.0021676136684881647,0.7856994252496914
ENSG00000005812,0.021486212025166283,0.049664212131716304,0.3708984992518081
ENSG00000005844,0.2350921557009461,0.3435394544457561,0.8713462452631471
ENSG00000005882,0.16028031580082389,0.2536253377088359,0.45482086698339613
ENSG00000005884,1.5982682185936952e-05,9.96492470320347e-05,-1.1590524551307266
ENSG00000005889,4.542013924369562e-09,6.305060335832677e-08,-1.3717040311921156
ENSG00000005893,0.4088462451871877,0.5279837716371737,0.18532441782475434
ENSG00000005961,0.14485305185106598,0.23342921208716086,1.4754791879506735
ENSG00000006007,1.3056243240512117e-07,1.2735608583328618e-06,-0.7811305393373607
ENSG00000006015,8.177132499035753e-07,6.4409512730374156e-06,1.270834717222292
ENSG00000006016,0.16570460477333906,0.26046539553597353,1.8765267722725054
ENSG00000006025,0.12216244721004989,0.20371389410145863,0.5121027984025206
ENSG00000006042,0.3091385222555739,0.42565309048307676,0.398799766620804
ENSG00000006047,0.8300444449312084,0.8821628260613877,0.5541170295345655
ENSG00000006062,0.0003649179634744305,0.001581912999403854,1.3768520833333289
ENSG00000006071,0.036642544234550475,0.0769586430306866,-1.3505306176262946
ENSG00000006118,0.7193314395371521,0.7998239617726097,0.26859687777404884
ENSG00000006125,2.7292742585269788e-11,5.917400302876178e-10,-0.9199265571406878
ENSG00000006194,0.18794922405730918,0.2880740576593559,0.1993694469204896
ENSG00000006210,5.505747290774896e-05,0.00030418436905078666,3.90068294539431
ENSG00000006282,0.014527810359918418,0.03594547098189117,-0.7287014144001348
ENSG00000006283,0.011430739931287449,0.029426351758818966,4.105253123639618
ENSG00000006327,0.7353893001776133,0.8115301893636118,0.6103027046409278
ENSG00000006432,0.12583845965666943,0.20875719120904251,-0.4875866979214888
ENSG00000006451,0.2705981820103076,0.38437535008998014,0.22277582116002106
ENSG00000006453,0.22004143990774505,0.32628344922109137,0.5300831343300391
ENSG00000006459,0.00017480076707163879,0.000839889492107116,1.1027092659407676
ENSG00000006468,0.04210690416617357,0.08625086618050642,1.395496434427834
ENSG00000006530,0.17686909924351657,0.2741664307661754,0.24375436421867813
ENSG00000006534,0.030222483587502017,0.06568858792293047,1.0566957198155489
ENSG00000006576,0.6670525331473849,0.757213959281442,-0.061817680834237894
ENSG00000006607,0.5068698996644162,0.6200071573869983,-0.09420768425341781
ENSG00000006625,0.2362761438026876,0.34503266293539525,0.40921594662306027
ENSG00000006634,0.5557314054980732,0.6626866771990874,0.17584525806984533
ENSG00000006638,0.6277875748879753,0.7253254675734093,0.4802186662784757
ENSG00000006652,1.4732769079550944e-06,1.1038460535206806e-05,1.7344399109625592
ENSG00000006695,0.0692641272681289,0.1291548792762619,0.3822999075822823
ENSG00000006704,0.039346867200324494,0.08167219985278393,-0.5560571708007648
ENSG00000006712,0.4694850699880001,0.586265938755136,-0.08893364935413454
ENSG00000006715,0.7788826485015466,0.8452017205559101,0.05374143255346019
ENSG00000006740,0.040685143022259944,0.08389341466717319,0.8110964237885089
ENSG00000006744,0.11982002028821039,0.2005978646951662,-0.20548349974027952
ENSG00000006747,0.8457724685290978,0.8932062477836722,1.0802090374859779
ENSG00000006756,6.572945043903276e-05,0.00035562664885194076,-0.9862387164207402
ENSG00000006757,8.358292314666657e-05,0.00043852329703050324,-0.9560623287279468
ENSG00000006831,0.0,0.0,-3.252489635121977
ENSG00000006837,0.11076562134348453,0.1888569058964288,0.3794606392046104
ENSG00000007047,0.06059754844414689,0.11616479846532406,-0.31069357676861936
ENSG00000007062,0.004506216917895205,0.013496903477186623,6.759895321877145
ENSG00000007080,4.339331055523565e-05,0.0002463198783232603,0.6695474763337967
ENSG00000007168,0.06805308242091791,0.1275032280074934,-0.20034969472607347
ENSG00000007171,0.8456819162290639,0.8931739447090623,1.1739776215457403
ENSG00000007202,5.4033264227699617e-20,3.0290821595557072e-18,-1.1419499156978519
ENSG00000007237,0.007801681940482279,0.021330039005778918,1.3250713622674255
ENSG00000007255,0.212172027883481,0.31720388992516807,-0.23866246961172466
ENSG00000007264,0.03204287682885577,0.06905073066634934,2.227144331271117
ENSG00000007312,0.07191824355909432,0.13317034284096343,1.82138434186477
ENSG00000007314,0.05472579216149404,0.10699894428862901,3.309129663156361
ENSG00000007341,0.010946792366466307,0.028342164487835154,-0.43070425009018637
ENSG00000007372,0.16819448592957828,0.2633785605467902,0.8014616730613676
ENSG00000007376,0.2571528737246195,0.3691491956561495,0.23725044758619762
ENSG00000007384,0.0002969868739948154,0.0013288133037406954,1.1797131277786308
ENSG00000007392,0.0005571874305736559,0.002289620463206996,0.7007499399625222
ENSG00000007402,0.0,0.0,-3.2053235559669475
ENSG00000007516,1.388272578249312e-09,2.14728141775945e-08,3.636604133462527
ENSG00000007520,0.09606360973060843,0.1683373490514603,0.25619254532526897
ENSG00000007541,0.5458630912045624,0.6540608755121838,-0.08639866935895268
ENSG00000007545,0.9982310339162573,0.9992373152004471,0.015056485107374179
ENSG00000007866,0.17738283169426208,0.2748483593140574,0.4035947141574422
ENSG00000007908,0.4317720966093307,0.5510990655780155,0.3304489359119056
ENSG00000007923,0.9457511507049844,0.9651910510278001,0.017097787958308623
ENSG00000007933,0.08714979136951105,0.15559105147415403,2.5604399071626607
ENSG00000007944,0.89203242186633,0.9274621613638828,0.15416281025057602
ENSG00000008018,0.979469082544284,0.9858894434718956,0.01132963987217293
