,p_value,q_value,log2_fold_change
ENSG00000000003,0.15491564176984546,0.2818617714914164,0.5710298018010963
ENSG00000000419,0.004664406865174425,0.018828276492350422,0.39573558267868
ENSG00000000457,0.5667696305541183,0.7048537736581442,0.09726433732660897
ENSG00000000460,0.04336037230839717,0.10852150222653456,-0.2901118690879122
ENSG00000000938,0.15047870020036272,0.2758282352306673,0.8853700630516075
ENSG00000000971,0.22416481948477457,0.37037548377434465,1.0160145076401739
ENSG00000001036,0.004896990169990548,0.01960770660806699,0.6110299608649511
ENSG00000001084,0.5817512271917641,0.7167825733328915,0.272908242734846
ENSG00000001167,0.7173896451870148,0.8212049465924213,-0.045142629502774485
ENSG00000001460,0.5670538809626878,0.7050895364336952,0.19864955475488544
ENSG00000001461,0.3970661325141224,0.5552811983661491,0.312716456578406
ENSG00000001497,6.8831057364206135e-06,7.302269226779561e-05,-0.5337460963426607
ENSG00000001561,0.37750666714156206,0.5364397831590886,-0.2089296236890119
ENSG00000001617,0.25583102872561286,0.4076383368493799,-0.35503144626941574
ENSG00000001626,0.009780200164641178,0.033838811022608675,3.7870374404533873
ENSG00000001629,0.023165518705275265,0.06689616151901416,-0.2592263277556975
ENSG00000001630,0.0029396732685381104,0.012939253349549396,-0.9067272130585008
ENSG00000001631,0.29774373415603206,0.4538832177109915,0.13422301476408613
ENSG00000002016,0.027100972229876272,0.07553686028518096,0.6269348876565948
ENSG00000002330,0.003594035130248967,0.015242925189367417,-0.42919765468090154
ENSG00000002549,0.0002900153470824163,0.001905504452930124,-0.9090357097495906
ENSG00000002586,0.5608811963711684,0.700454885549472,0.26577514553117654
ENSG00000002587,0.14765936335945792,0.2723260915512853,1.1729437043185569
ENSG00000002822,0.11147071790002809,0.2215876608996288,-0.29136536570625066
ENSG00000002834,0.003333260600743895,0.014316296611326504,-0.5378380736696603
ENSG00000002919,0.6284359720887682,0.7539105834618398,-0.05814362710442537
ENSG00000002933,0.11237489263235656,0.22293873545004675,1.5163573614888548
ENSG00000003056,0.20151159501402324,0.3423552070159333,0.18018585479442417
ENSG00000003096,6.130765078868214e-05,0.0005110114485156242,2.1533515939536136
ENSG00000003137,0.8417886324241594,0.905859215233783,0.3388467301660696
ENSG00000003147,0.5054891578516281,0.6541495226933102,-0.14416644449363747
ENSG00000003249,0.5972230419487662,0.7295454281568331,0.5082170681014345
ENSG00000003393,0.6016033008852425,0.7326446609176147,0.09564119840656207
ENSG00000003400,0.06606272351157559,0.14873099557208563,0.6839264426537498
ENSG00000003402,0.8337000717088856,0.9007999056464091,0.08706884934484041
ENSG00000003436,5.778712605911066e-06,6.223711082071246e-05,2.164422183238357
ENSG00000003509,0.027983560898982345,0.07727384864485391,0.3721743675901459
ENSG00000003756,4.205252966309252e-08,8.071809656337154e-07,0.858014232708039
ENSG00000003987,0.053402464759572076,0.12686279307716525,0.7716727564013546
ENSG00000003989,2.678780033434716e-07,4.192382297548518e-06,-1.854556754072776
ENSG00000004059,0.34167706236374,0.5003716295258979,-0.09899775966999295
ENSG00000004139,0.11658749474573193,0.2290044526398903,0.34237800371245347
ENSG00000004142,0.00014473713438239712,0.0010614769161131487,-0.37840662033960815
ENSG00000004399,0.772249487702651,0.8598098976244244,0.12610603606770843
ENSG00000004455,0.19039494568785081,0.3279672390448176,0.19807153644454342
ENSG00000004468,3.698505837038018e-05,0.00033007336394656246,-2.0610880032506893
ENSG00000004478,0.021512010182711757,0.06291671034729586,-0.6446607317030312
ENSG00000004487,0.7359993336309876,0.8348088695121505,0.04402197603861952
ENSG00000004534,4.952858372388371e-07,7.120929098139457e-06,1.3449112023227696
ENSG00000004660,0.016295554805231597,0.05083189294741877,1.4138722588016306
ENSG00000004700,0.87474258658484,0.9264285286676047,-0.008514995846183504
ENSG00000004766,0.056065606531053386,0.13180195853535986,0.2843200149879699
ENSG00000004776,0.22464903058039637,0.37087917206800447,1.0928715808054486
ENSG00000004777,0.06748407760521438,0.1511546374225798,0.5630379434049496
ENSG00000004779,0.737877986356476,0.836266851914759,0.0518945696670888
ENSG00000004799,0.5722742112448483,0.7088585760076521,1.536141499267539
ENSG00000004838,1.3298284128862337e-12,6.60259806998015e-11,-2.195266163741639
ENSG00000004864,0.11567214113088604,0.22772092811849692,0.36058435269223843
ENSG00000004866,0.007160532410065767,0.026445854264301908,-0.4654819607874883
ENSG00000004897,0.4374475038123565,0.5919452402415255,-0.08363653987368448
ENSG00000004961,0.19776926372655768,0.3373924158981877,0.21130979518947446
ENSG00000004975,9.355351146221165e-07,1.2441781725264664e-05,0.7806384134033568
ENSG00000005007,0.025365103762279427,0.07169131319528502,-0.2777093816370685
ENSG00000005020,0.09975184479331504,0.20351274973101063,0.7441936684765893
ENSG00000005022,0.5216472584956876,0.6677967137590206,0.16396654877702127
ENSG00000005059,0.004961476430072626,0.019802034144140345,-0.743619129803964
ENSG00000005075,0.7822293489799511,0.8658428415348671,0.04732535709338782
ENSG00000005100,7.572912601768934e-12,3.290825778189728e-10,1.038945802199176
ENSG00000005102,0.6354765682559406,0.7597867622549555,0.03791557460071565
ENSG00000005108,0.39812373468021905,0.5562901527262535,0.6016753954534875
ENSG00000005156,3.291921804613036e-11,1.2735889683041862e-09,-0.8604514886585244
ENSG00000005175,0.2700004211807038,0.42351055954997713,0.1981154025102189
ENSG00000005187,0.35552944566911643,0.5150370641160756,0.8825868700157118
ENSG00000005189,0.5648743382010075,0.7036717627752787,0.3809914806491259
ENSG00000005194,8.904868451440887e-07,1.1906464594633035e-05,0.6489405730598162
ENSG00000005206,0.014390847389826709,0.04623633992050665,0.4230084774042303
ENSG00000005238,0.8225912324240229,0.8935958457305607,0.09780016513506064
ENSG00000005243,0.47143383941808337,0.623679459821685,0.268590182272514
ENSG00000005249,0.005979265853092841,0.022970356880022,-0.9980635489818157
ENSG00000005302,0.01675816286432185,0.05190535160409107,0.4457363504137241
ENSG00000005339,0.13761805148289472,0.25839163958624944,0.20652440394683358
ENSG00000005379,0.5850208518826239,0.7197394555869895,-0.10350889496076643
ENSG00000005436,0.24476183390944947,0.39520081475135505,0.21507012871779857
ENSG00000005448,0.04451150576546958,0.11077675495015363,-0.414837410171144
ENSG00000005469,1.1029759578990147e-11,4.6540586098883353e-10,-1.3451226124300528
ENSG00000005471,0.020292940427625552,0.06002943931744391,-1.078040889873427
ENSG00000005483,0.020622589634563846,0.0608023500805282,0.3822711159158119
ENSG00000005486,0.567389678207575,0.7053893044739029,0.14444346951927903
ENSG00000005513,0.00028201340719935487,0.00185949079248977,3.4730289769307565
ENSG00000005700,0.616342063806095,0.7442574009235334,-0.05831438541401121
ENSG00000005801,0.010006542374345161,0.03449373956627429,0.5943649928371332
ENSG00000005810,0.6431185840887234,0.7657275227818973,0.12148297065112496
ENSG00000005812,0.6118089506562056,0.7409459565838021,-0.05943263264921358
ENSG00000005844,0.0006235533816560796,0.003594559097101133,-1.32316349966091
ENSG00000005882,0.47781065936507056,0.6291529424643996,-0.13945860811675775
ENSG00000005884,0.3786644130168878,0.5375720960623851,0.39091427005229085
ENSG00000005889,0.12078208973230734,0.23464839266502122,-0.39148994353526556
ENSG00000005893,0.6465494161190823,0.7676035033551515,-0.06176572200584155
ENSG00000005961,0.7357911884202187,0.8347630078648928,0.5124301799939321
ENSG00000006007,7.358024329303589e-09,1.7124651935152648e-07,-0.850018444654511
ENSG00000006015,0.01888613079765293,0.05691056407668226,0.6049073927628159
ENSG00000006016,0.4029429641960667,0.5605001355715739,1.2534061986759666
ENSG00000006025,0.2500644717094984,0.4010413445003711,0.38264761402523706
ENSG00000006042,0.21669562350207447,0.3609977980162621,0.4715935974335374
ENSG00000006047,0.6492746686115438,0.7696121430024626,0.7577366097606483
ENSG00000006062,0.004265053668435584,0.017524958452785663,1.0760012647504826
ENSG00000006071,0.05354865411982958,0.12716951580275215,-1.2197993260218938
ENSG00000006118,0.0001577937587528455,0.0011403872084539707,-1.218621223190047
ENSG00000006125,3.765109232842729e-08,7.340484558009482e-07,-0.763542043283489
ENSG00000006194,0.0057878505864822185,0.02236317366683597,-0.34626444768489356
ENSG00000006210,0.0020464299822195507,0.0096399666619735,2.837283318440044
ENSG00000006282,0.05067371941113583,0.12189681050207819,-0.576040234372268
ENSG00000006283,0.010965981322305255,0.03710547292043089,4.101818303864567
ENSG00000006327,0.015408744041424212,0.04874962669860102,-1.183374970351119
ENSG00000006432,6.749811102077803e-07,9.380770586189124e-06,2.5914067966517416
ENSG00000006451,0.021862162107376557,0.06376285580367609,-0.36573429027135945
ENSG00000006453,7.073519934890112e-06,7.477649356294409e-05,1.8781015453776928
ENSG00000006459,0.13040107631210346,0.24844257248257623,0.43988139031813184
ENSG00000006468,0.8218006749145357,0.8932876780888863,0.2937728056152198
ENSG00000006530,0.0004370774336322838,0.002679162676087754,0.6175604854522657
ENSG00000006534,0.7048229503186623,0.8120620239013362,0.2539460293660366
ENSG00000006576,0.027787205531980805,0.07691700918023678,-0.41845183403756314
