,p_value,q_value,log2_fold_change
ENSG00000000003,0.28471970214915454,0.39858082363831365,0.4426152904184612
ENSG00000000419,0.1346969582003044,0.22078917050660654,0.21261634567857635
ENSG00000000457,0.0016539639577550105,0.005803484841168641,-0.4152421550395625
ENSG00000000460,0.0010580135495411543,0.003978569002881973,-0.46776155046588624
ENSG00000000938,0.001385658021919131,0.004999848894497445,1.982300270419859
ENSG00000000971,0.009687561143518576,0.02537299511740974,2.1009556235817146
ENSG00000001036,0.0002484611853296353,0.0011681910844333707,0.8012182947775295
ENSG00000001084,0.7538332231217716,0.8270122897841046,0.1882785389066772
ENSG00000001167,9.083977896460631e-14,2.784071003452286e-12,-1.2285845228745473
ENSG00000001460,0.09811055353831787,0.17123844838789554,-0.3664568186996039
ENSG00000001461,0.06528863069238512,0.12263230191211555,0.6333033040224278
ENSG00000001497,0.05896804004274995,0.11294872649392303,0.27639986218280593
ENSG00000001561,0.024438187660677155,0.05488643021800154,0.8760286744415161
ENSG00000001617,7.792940453680519e-08,8.255750217465955e-07,-1.6516783337522014
ENSG00000001626,0.029024216718890494,0.06325028647079355,3.026459010192627
ENSG00000001629,0.021232291473313205,0.04877467327190009,-0.2621788626850318
ENSG00000001630,0.2272385762341607,0.3342271741885873,-0.3411761190639366
ENSG00000001631,0.48091939783836585,0.5947604143808086,0.09321108555514679
ENSG00000002016,4.5051220204080943e-08,5.099072377961898e-07,1.5646064713718617
ENSG00000002330,0.23769677765303082,0.34659750397864847,-0.1709793355926707
ENSG00000002549,0.9814713757603719,0.9879716254612921,0.05430112638772083
ENSG00000002586,0.5307239111497555,0.6410734561440926,-0.1286449514273278
ENSG00000002587,0.11145265285389892,0.18946442185104137,1.2791695293012366
ENSG00000002822,0.8712623826303764,0.9121362873699396,0.06462142711281985
ENSG00000002834,5.740049037957607e-17,2.476739042008378e-15,-1.382324836732501
ENSG00000002919,0.5295139028633388,0.639952438679753,0.1141123977651705
ENSG00000002933,0.031602693083077095,0.06781762188048313,2.0429547275206024
ENSG00000003056,9.019659401191858e-05,0.0004837876369490556,0.5468797379473339
ENSG00000003096,1.3658435377086773e-05,8.806082894318e-05,2.3237119149801853
ENSG00000003137,0.1584180590224924,0.25153363065131906,2.236291037014836
ENSG00000003147,0.0005283390090615595,0.002224310214802693,-0.9679707592018656
ENSG00000003249,0.03963161734435376,0.08158000833943467,-0.8225188569619174
ENSG00000003393,0.6119909689080475,0.7130562697808517,-0.06080802467462762
ENSG00000003400,4.559103750886296e-07,4.004000611406332e-06,1.864768580953195
ENSG00000003402,2.0233308854042816e-05,0.00012573013574508458,1.142817393018456
ENSG00000003436,1.0030071417419744e-10,2.0216226490184992e-09,3.309205113824489
ENSG00000003509,3.174297253161803e-06,2.287429007539674e-05,0.7725704215491139
ENSG00000003756,0.0001847925140435461,0.0008995047374766728,0.5936005438969391
ENSG00000003987,0.9254261792515334,0.9502732198828346,0.037571928025387974
ENSG00000003989,0.0,0.0,-4.412538744547184
ENSG00000004059,1.366195682054979e-08,1.7452388236885858e-07,-0.582471190793955
ENSG00000004139,0.6232053937507681,0.7219353196389556,0.12247114850100935
ENSG00000004142,0.6264349920495855,0.7249691667426925,0.060237323415054514
ENSG00000004399,0.9670888222614437,0.9781865031861672,0.03709597761817441
