,p_value,q_value,log2_fold_change
ENSG00000000003,0.0018670846136758692,0.010749990460263655,-0.8464147261653432
ENSG00000000419,0.22846647218166136,0.3863542351437155,0.17186364773483614
ENSG00000000457,6.7555570975297885e-06,9.865100290951588e-05,-0.5661207394275599
ENSG00000000460,3.2297908805365506e-07,6.951984850519063e-06,-0.6971386823941749
ENSG00000000938,0.02056031669509503,0.06871593772009021,1.4095942194790516
ENSG00000000971,0.1532763917315782,0.2944353694663216,1.1695484123379585
ENSG00000001036,0.00011781375878634737,0.0011953923277402208,0.8434060997192603
ENSG00000001084,0.29035007261492535,0.45692174660320267,0.4597038734110159
ENSG00000001167,1.1707207966786713e-06,2.095899791650097e-05,-0.8238059891497989
ENSG00000001460,0.6374718286636782,0.7638277602723423,-0.07761854086309299
ENSG00000001461,0.7547519281728309,0.8474317782401867,-0.033191101382242925
ENSG00000001497,0.031018602060488436,0.09331894116157852,-0.2740524098698512
ENSG00000001561,0.2666596231586502,0.43074450568789663,0.45066598847974754
ENSG00000001617,0.488135658694777,0.6486152287460559,-0.17060015423096928
ENSG00000001626,0.0008927361510857155,0.00603052379610963,5.423362814620293
ENSG00000001629,0.19421067851392151,0.3468546830293598,-0.146442698896622
ENSG00000001630,0.9390872341417998,0.9663708913700415,0.06710642938821035
ENSG00000001631,9.032186518340006e-09,3.071562059147817e-07,0.7282867416470129
ENSG00000002016,0.0004777370174905836,0.0036755645018193396,1.020355286216028
ENSG00000002330,0.35863989748333575,0.5260404995582754,0.17044932814526592
ENSG00000002549,0.052999061798616826,0.13781791646131242,-0.4869256778382768
ENSG00000002586,0.16606518646415153,0.31176467763845944,-0.35836610677006425
ENSG00000002587,0.043528644203962144,0.11930259604215508,1.6128930669109172
ENSG00000002822,0.5268895758992929,0.680012150855209,0.1666215712697328
ENSG00000002834,1.431536710652364e-11,8.959134161834857e-10,-1.1394223434813393
ENSG00000002919,0.0015943573047580688,0.009567877963877612,0.5343657104089237
ENSG00000002933,0.5486559450101431,0.698123210398606,0.7105294911713587
ENSG00000003056,0.7889666428338363,0.8704032212091224,0.046465933648210785
ENSG00000003096,0.5263638670060081,0.6795102963299091,0.38572883544712333
ENSG00000003137,0.21021739988866525,0.3648552984551001,2.0113354647289556
ENSG00000003147,0.1334757781198593,0.26780730793798924,-0.4085008056038238
ENSG00000003249,0.36602932175754,0.5342876908784471,0.7425258399425095
ENSG00000003393,0.3354542082824292,0.5031306446850048,0.16509642233996757
ENSG00000003400,0.00019358125023934356,0.00178759623206139,1.427583496415791
ENSG00000003402,0.007588471439913915,0.032359084482541586,0.7149235689273974
ENSG00000003436,4.717228391172986e-07,9.625084505002964e-06,2.3573012340881707
ENSG00000003509,5.097695118251712e-06,7.638849978506967e-05,0.7614815580322906
ENSG00000003756,0.06122834013842428,0.1529978112467944,0.29762907175136993
ENSG00000003987,0.04231932229215256,0.11703421937274644,0.8056319982432265
ENSG00000003989,1.909719083137569e-14,1.7148620744528376e-12,-2.6100393234512467
ENSG00000004059,0.0002843239224516036,0.002408990230328007,-0.39021421416549334
ENSG00000004139,0.00046022265169396977,0.0035628983352295634,0.7712701858927743
ENSG00000004142,0.007956921578477475,0.033575653533716034,0.3029034954986141
ENSG00000004399,0.5791597578522956,0.7212260340448075,0.19923431794304797
ENSG00000004455,0.19478626695326437,0.34753656073676975,0.1971239120883448
ENSG00000004468,0.012754961099970454,0.04806100318342016,3.160043539604754
ENSG00000004478,0.017338694355704322,0.06040881976773953,-0.6680755239019384
ENSG00000004487,0.00038944951839429086,0.003098744966069958,-0.35765168300869454
ENSG00000004534,0.10421788616637144,0.22523584074986977,0.4464535591342113
ENSG00000004660,0.9700532502636128,0.9841263562645766,0.1564102021709193
ENSG00000004700,0.9964544512513335,0.998801416647955,0.015361048757463004
ENSG00000004766,0.9101903847554695,0.9490574575381673,0.028747532249968465
ENSG00000004776,8.265075861586754e-08,2.1225569820402534e-06,4.701404857331163
ENSG00000004777,1.6993356143913607e-05,0.00022968787637349652,1.3720389564761768
ENSG00000004779,0.0008009552848552393,0.005523254151814254,0.448887971440609
ENSG00000004799,0.3258614055437367,0.4934131986961429,2.2079971748061076
ENSG00000004838,0.0,0.0,-4.022647697629453
ENSG00000004864,0.5314832991211584,0.6836736156864078,0.15787295345998795
ENSG00000004866,0.14183867386422547,0.2791605506352588,-0.2507719613250941
ENSG00000004897,0.4166966874091378,0.5835007200299998,-0.08806938564126082
ENSG00000004961,0.017615503370159748,0.061118780036927424,0.38620974239105466
ENSG00000004975,0.029020564956984983,0.08870537964996744,0.36119305619405706
ENSG00000005007,0.02643341119518374,0.08285472637884297,0.3227669662576431
ENSG00000005020,0.055404006542811565,0.14235685310594762,0.861872836431617
ENSG00000005022,0.3286106071328133,0.4960631390740098,0.23652925195142868
ENSG00000005059,0.001104996807863498,0.007168522409898432,-0.862246931350502
ENSG00000005075,0.2078013089011011,0.36206553631134764,0.18037932250997654
ENSG00000005100,0.00012661250951337985,0.0012682537519850658,0.5725957841245805
ENSG00000005102,0.9053119619111137,0.9458743846156819,0.3352794697476014
ENSG00000005108,0.41481690450532593,0.5820211970360716,0.5860321085560788
ENSG00000005156,0.37520967117383064,0.5439027504944466,-0.11736192884450934
ENSG00000005175,0.13791478660721423,0.2742278396094588,-0.21443637074717076
ENSG00000005187,0.18812118995253863,0.33932716508635924,1.1797817164577247
ENSG00000005189,0.23322045065485467,0.39200487296543607,-0.36867540403996535
ENSG00000005194,7.64128196586947e-06,0.0001105018396908988,0.5938867962001555
ENSG00000005206,8.169646088234815e-05,0.0008824284154043334,0.6932483582219902
ENSG00000005238,0.5036675047059861,0.6617475635253602,0.21205615341592043
ENSG00000005243,1.1568454027287258e-05,0.00016255860635513557,-1.0189091848021998
ENSG00000005249,0.004055266830808193,0.0200010594188371,-1.0424582149269674
ENSG00000005302,0.03205075828263656,0.09557478370768199,0.4036641625159566
ENSG00000005339,0.2999292282900479,0.46652525640980197,0.1475724800867408
ENSG00000005379,0.510634644985391,0.6668919804522051,-0.1401737305363824
ENSG00000005436,0.2368854451371367,0.3966087287736397,-0.17315459793063587
ENSG00000005448,0.6845396902524176,0.7990440354392392,0.1396705463393666
ENSG00000005469,0.05252562706318365,0.13677783480876232,-0.4227195632681205
ENSG00000005471,0.1453550186084596,0.2839799320793554,-0.6261402242740173
ENSG00000005483,0.0029532626547793994,0.01560995288961645,0.49372488031462025
ENSG00000005486,0.14158755521960015,0.2789611951052836,0.3349441593160667
ENSG00000005513,0.0033639298760793357,0.017325634683333924,2.736775674268207
ENSG00000005700,0.15618614935946792,0.29860001215624116,-0.18767136846971683
ENSG00000005801,0.22553274375743737,0.3833078752016236,0.287237055349088
ENSG00000005810,0.003014220305672214,0.015864597686568067,0.66751202796047
ENSG00000005812,0.0032687836488307473,0.016946930890822828,-0.3979199103348211
ENSG00000005844,3.0020616611462665e-05,0.00037894668171842066,-1.5806950852922939
ENSG00000005882,0.377554637209031,0.5458095475198386,0.2998483595184998
ENSG00000005884,0.052436191867632535,0.13658179322318786,-0.5391318337006413
ENSG00000005889,0.29700234754176585,0.4638617979065327,-0.24738832567115332
ENSG00000005893,0.7378544210926523,0.8355767963335403,0.08898650482771996
ENSG00000005961,0.5242247318505427,0.6779827542688056,-0.1602208694671549
ENSG00000006007,0.00019144768140919093,0.0017711883320434153,-0.5815666544884647
ENSG00000006015,1.2465588784501193e-08,4.11696108525821e-07,1.5005791233344326
ENSG00000006016,0.05658432650190902,0.14439327449818998,2.538240552522309
ENSG00000006025,0.0016767779703502417,0.00991488998347235,1.0365769483382428
ENSG00000006042,0.0028431957879822647,0.01510859838101885,-0.7787639144097424
ENSG00000006047,0.13875860789984704,0.2753910012882374,1.7714942802056413
ENSG00000006062,0.1549132696284975,0.29692872875002835,0.5447178916120828
ENSG00000006071,0.41898272527988506,0.5850884656867646,-0.11035292273422462
ENSG00000006118,0.03824110324369684,0.1085161426585758,-0.6753432760355137
ENSG00000006125,4.925672258061739e-10,2.2098761531273975e-08,-0.8613649521750387
ENSG00000006194,0.023934766908408872,0.0770162784836358,-0.285970917885788
ENSG00000006210,0.023052431943880583,0.0749871093697535,2.027685972603647
ENSG00000006282,0.3223005917790401,0.4892649117966574,-0.26104798331569856
ENSG00000006283,0.2670471781619755,0.4312302383697555,1.8193550202993027
ENSG00000006327,0.0994977905816525,0.2179761127686004,-0.757608303225175
ENSG00000006432,0.22903193347966697,0.3870351216677871,0.6622113358223365
ENSG00000006451,0.44778808823735555,0.6123580218780216,-0.11095295917923269
ENSG00000006453,0.8138949543528224,0.8872667215220127,-0.0010007339827281356
ENSG00000006459,0.0014419457386096381,0.00888245731041793,0.9249816728248796
ENSG00000006468,0.43284124543761054,0.5982897504448041,-0.2183740915588079
ENSG00000006530,0.1759205329036695,0.3241385870361401,0.2415787288353979
ENSG00000006534,0.0036280739527412742,0.018349800178635408,1.4278508708412219
ENSG00000006576,0.12939475859395605,0.2616883814333979,-0.2842588830734807
ENSG00000006607,0.4057084566342123,0.5729085180459894,-0.1215903027681853
ENSG00000006625,1.9260220285050855e-08,5.96426156228342e-07,-1.2389784892090019
ENSG00000006634,0.7398476375752698,0.8368795991558052,-0.04166951541514713
ENSG00000006638,0.6943256099807311,0.8052620073707849,-0.027180294585492263
ENSG00000006652,0.048048415371584975,0.12813834994868256,0.7278330377091992
ENSG00000006695,0.19318474506492864,0.3454046179732616,0.27040103807123356
ENSG00000006704,0.45149598650450057,0.6155540905640082,-0.16835074029836847
ENSG00000006712,0.028739546399954664,0.0880876302274291,-0.28855931257063366
ENSG00000006715,0.043324359804538234,0.11897425134376788,-0.2625917417473024
ENSG00000006740,0.42275857354255586,0.5888888948766828,0.34595197236168346
ENSG00000006744,0.008815960011050865,0.03630459617489705,0.4093382640156138
ENSG00000006747,0.9892838039656036,0.9948027902386851,0.7856018338048956
ENSG00000006756,2.3425282428262032e-07,5.262738789878778e-06,-1.1873475080923102
ENSG00000006757,0.06709397433095222,0.16350863017989747,-0.4486193349868589
ENSG00000006831,0.01038458012550138,0.04096797142045317,0.7356862758758442
ENSG00000006837,0.16877368409049193,0.31533985665079267,0.3293972510376277
ENSG00000007047,0.03761732466677473,0.10717483758829564,0.42598431034123035
ENSG00000007062,0.3522849225658718,0.5194816277218751,2.164964636258606
ENSG00000007080,0.00023653069626215306,0.0020859234581555772,0.598998843074209
ENSG00000007168,0.03142562914721701,0.09440999317220601,-0.2357878979307024
ENSG00000007171,0.9747581923476505,0.9871514328949045,0.8361674757179797
ENSG00000007202,8.327809653319226e-17,9.054213488043056e-15,-1.0477937531425774
ENSG00000007237,0.9198553835352461,0.9547241263854428,0.06534851040223662
ENSG00000007255,0.02100973828577946,0.06999330167002574,-0.45262958007800436
ENSG00000007264,0.001414612967066501,0.00872852532910337,-1.5019280091185012
ENSG00000007312,0.3247119183621587,0.4919227038246901,1.0643854827113166
ENSG00000007314,0.1947825822270889,0.34753656073676975,2.2859570879631748
ENSG00000007341,0.2827160616785791,0.44836624134395614,0.22700080318648325
ENSG00000007372,0.49035826832470264,0.6504485178285195,0.45075437264836665
ENSG00000007376,0.026956281556059277,0.08396742075075748,0.4445729052848084
ENSG00000007384,0.5852002304168299,0.7256975851545375,0.20429077630192
ENSG00000007392,0.01286251667688541,0.04841728225984538,0.4981577554657512
ENSG00000007402,0.13313976630063626,0.2674052372865984,0.7642858143562575
ENSG00000007516,0.25725685528818737,0.4210777669357526,0.6719023761205393
ENSG00000007520,0.530202219180508,0.6829855621113611,-0.07403269068685976
ENSG00000007541,0.5136022028217004,0.6696520317777686,-0.09507042095801581
ENSG00000007545,1.0705702167733378e-06,1.9494062810316464e-05,-0.6214931790367163
ENSG00000007866,0.03772691286369221,0.10736384545370567,0.6085727211519388
ENSG00000007908,0.11276804276549697,0.2378047876987937,-1.1905483319457908
ENSG00000007923,0.001980034319562004,0.011265321310113081,0.3789368274472833
ENSG00000007933,0.5040542328271392,0.6618961295918399,1.1986640101132062
ENSG00000007944,0.41278575040174253,0.5801939745027779,0.43216648178587347
ENSG00000008018,0.5239366781388154,0.6778288010976583,-0.06148114318183479
ENSG00000008056,0.015257197603706918,0.05486623812342215,2.219721383509874
ENSG00000008083,0.3702086129288353,0.5383965328622341,-0.17978615552766142
ENSG00000008086,0.3680603996538112,0.536529619577561,0.2773477196436007
ENSG00000008128,0.34721623327065193,0.5146055516981454,0.36490517709937326
ENSG00000008130,0.6339794530043912,0.7620338890010011,0.11166300662598339
ENSG00000008226,0.5796950317073244,0.7217346867850217,-0.08889230480397958
ENSG00000008256,0.24509908734005567,0.4065711861355543,0.31053090042095466
ENSG00000008277,0.5932584512063013,0.7316870605877169,0.3904820488684351
ENSG00000008282,0.8497989090405044,0.91200629710756,0.049567618043123214
ENSG00000008283,0.21897370907060096,0.37579573494758406,-0.2989969008343571
ENSG00000008294,0.38117155834678956,0.5490621681973452,0.15445524688329354
ENSG00000008300,0.44489488035518915,0.6096889541715468,-0.19806019852949666
ENSG00000008311,0.00015946890463430422,0.0015216459542139406,1.7846109656627052
ENSG00000008324,0.3295836356717112,0.49712893704608996,0.20991909269575665
ENSG00000008382,0.011495703509435476,0.044302329566116794,-0.44436907874545734
ENSG00000008394,0.5783197002215841,0.7207040014570018,0.5613130756216096
ENSG00000008405,0.1875633569653174,0.3386371153937458,-0.35269921777323116
ENSG00000008441,9.72089092814851e-06,0.00013842511508104405,1.1734735407929988
ENSG00000008513,0.4661969302589561,0.6288149303818846,0.3330926956218332
ENSG00000008516,0.5167586658816686,0.6721201823530785,0.7745389924574614
ENSG00000008517,0.010580097081760748,0.04152583558177242,-1.249168778695983
ENSG00000008710,0.14052358963591458,0.2774889125847736,0.41316415869811635
ENSG00000008735,0.23338599634562443,0.3921358618802116,-0.41139071834401403
ENSG00000008838,0.8274180128983273,0.8961640284101506,0.07154985052772751
ENSG00000008853,0.4178636385232845,0.5843656835794125,-0.2010284001801767
ENSG00000008869,0.07558367144714452,0.17878653107911985,0.29613155747935044
ENSG00000008952,0.8340355892748416,0.9001492719548413,-0.015863641304850178
ENSG00000008988,0.05876674802609993,0.14838628781975902,-0.2846928721638641
ENSG00000009307,0.004333962974295768,0.02106866139103638,-0.37660545933057604
ENSG00000009335,0.8210302876745507,0.8922549346937423,0.03289021726764139
ENSG00000009413,5.228157089383236e-05,0.000609338026966849,1.133658555736042
ENSG00000009694,0.5617726144796793,0.7079247682681344,0.6723892887901174
ENSG00000009724,9.041284094738058e-07,1.6875930650516713e-05,1.9351399717882773
ENSG00000009780,0.5191603686603122,0.6740667443510592,0.15897972221693824
ENSG00000009790,0.008326450978946394,0.03471102360240877,-0.9275599026161644
ENSG00000009830,0.05653540128883508,0.14439211285960193,0.38632207129888785
ENSG00000009844,0.0002647606465229744,0.0022755971321175438,-0.3631683076735019
ENSG00000009950,0.021215902313097088,0.07052239789189492,3.703524728546644
ENSG00000009954,0.805419789793173,0.8819826326252986,0.036094241077375376
ENSG00000010017,0.10322693848457974,0.22348332103601964,0.35010503586898595
ENSG00000010030,0.02800441389848246,0.08632569226363747,-1.0978339658162213
ENSG00000010072,0.009822128127321876,0.039359859686967806,-0.4164456597373592
ENSG00000010165,1.0981085759164327e-06,1.9890080801454003e-05,-0.5862651626162912
ENSG00000010219,0.22617738316282354,0.38399947615783514,0.28922822012867255
ENSG00000010244,0.02020320279070854,0.067814291810762,0.32861432588484313
ENSG00000010256,0.3792678180536993,0.5471904445863862,-0.1110389770691162
ENSG00000010270,0.1866396879035555,0.33762425933002904,0.22675734787060497
ENSG00000010278,0.011220805814825196,0.04349797735721118,-0.7559183884217666
ENSG00000010282,0.034741885517327174,0.10130782787403841,5.251555285621268
ENSG00000010292,0.09157142014720615,0.20532233977007913,-0.2761422581484145
ENSG00000010295,0.015525386989058153,0.055575736410002685,0.57895496539589
ENSG00000010310,0.8928319939264473,0.9377191192733347,0.5572223365941436
ENSG00000010318,0.43571133391113764,0.6010298498431557,0.37735092784590235
ENSG00000010319,0.8009589072523138,0.8788422043111023,0.38355523681625303
ENSG00000010322,0.08079086849800685,0.18738399038894613,0.36695637170521406
ENSG00000010327,0.10505038448538233,0.22667325465881064,1.050699696379455
ENSG00000010361,0.5055857093854685,0.6627969671973731,0.13627491571458655
ENSG00000010404,0.9087018876643463,0.9481691500357575,0.05199841551833111
ENSG00000010539,0.8850592860472395,0.933626321698385,0.07546072940557749
ENSG00000010610,0.003682007489793113,0.018578421937828056,-0.9992575421618652
ENSG00000010626,0.025537089073589803,0.0806391650945771,-0.4586517016457948
ENSG00000010671,0.006241174074238965,0.0279012078567288,-0.8973780670581097
ENSG00000010704,0.06402912521567056,0.15826648192622186,-0.4324058337770935
ENSG00000010803,0.058031599453045465,0.14722886626692425,0.3500757462854551
ENSG00000010810,0.02167629624066647,0.0716053298968124,0.6668472417200916
ENSG00000010818,0.014168774967671651,0.05207619606056043,0.718819632204922
ENSG00000011007,0.002162879823440329,0.012093128742546434,0.4807849518286837
ENSG00000011009,0.904965356266004,0.9455951583010965,-0.0033137695711344074
ENSG00000011021,0.02463848436507929,0.07846701402990293,1.7542257409271933
ENSG00000011028,6.89286705092651e-11,3.845290439084283e-09,-1.8716489728201626
ENSG00000011052,0.6640715922022217,0.7842805554909683,-0.052553135740776045
ENSG00000011105,5.644797496921021e-09,1.9880426094286173e-07,-1.2176224424266895
ENSG00000011114,0.19236470836153177,0.3444250908817184,0.1791738354306875
ENSG00000011132,0.0012123130637398038,0.007687272492296457,0.5640886898965215
ENSG00000011143,0.49759850916272474,0.6568688786586636,0.11633698350926688
ENSG00000011198,0.6797847227674542,0.7957087187128669,0.1930694567215295
ENSG00000011201,0.011092586542285244,0.04313944557371768,-1.1790042597219463
ENSG00000011243,0.00038239199392543815,0.003054010053361609,0.7291561399599195
ENSG00000011258,0.9895265619453749,0.9948027902386851,0.014434436342610305
ENSG00000011260,0.6018124255014807,0.7382027569665286,0.09468095863991798
ENSG00000011275,0.9672282238321336,0.9825386057092589,0.03035524166333725
ENSG00000011295,0.11601859994696291,0.24265007606789699,-0.209467791024642
ENSG00000011304,0.746002511671285,0.8413498456382061,0.053031577071707296
ENSG00000011347,0.002295518319065238,0.012677695722089996,-1.3360114084249737
ENSG00000011376,0.6577358509751975,0.7798277083718512,-0.058542539506741986
ENSG00000011405,0.007067529531117314,0.030691890290329166,0.5269525713991307
ENSG00000011422,1.3296457294959411e-07,3.184095360263994e-06,-1.673579107161667
ENSG00000011426,0.0004940516322820841,0.0037815514197541843,-1.7768010111462011
ENSG00000011451,6.276014702091179e-05,0.0007146883714651996,0.5635346885200018
ENSG00000011454,0.5017351429410114,0.6603687210751635,0.11645400967163251
ENSG00000011465,0.010192270987891132,0.040421208338787526,-1.1496738704228322
ENSG00000011478,0.7815927028993546,0.8653057313576548,0.1021432893532913
ENSG00000011485,0.042143170291038846,0.11669873981874394,0.35717402958156097
ENSG00000011523,0.4680474025073526,0.6306826542742009,0.1618085494991301
ENSG00000011566,0.6322542262337094,0.7606446690453613,0.11375719011117028
ENSG00000011600,1.3040960854106518e-06,2.298758720969427e-05,-1.2317019652572412
ENSG00000011638,0.1825216562196864,0.3326713622944253,-0.3481567586800831
ENSG00000012048,0.0014730900195196236,0.0090332136026121,-0.9066941936716921
ENSG00000012061,0.9696287528536583,0.9840333840275767,0.030899005584295827
ENSG00000012124,0.8929648953746694,0.9377746134905522,0.5157782710568637
ENSG00000012171,0.18258398031265033,0.3326713622944253,0.8499581038119188
ENSG00000012174,0.8199062042151262,0.891618815199263,0.050373185222133056
ENSG00000012211,1.1933769023076436e-05,0.00016753392045120032,1.0242629855945686
ENSG00000012223,0.9358408120490642,0.9645940693011426,2.091234734008878
ENSG00000012232,0.5279357992925594,0.6807725504685891,-0.10106874957468093
ENSG00000012660,4.9774253577344436e-09,1.7951271356768653e-07,-1.428838794876806
ENSG00000012779,0.2584382245460141,0.42236530114251486,-0.3542846427174658
ENSG00000012817,0.8876642949617731,0.934928558439797,8.135645990305655
ENSG00000012822,0.00036545442463234635,0.002945586393343506,0.7867842064349299
ENSG00000012963,0.003084709793898077,0.016170195506042477,-0.38787474236350006
ENSG00000012983,0.7676762108131006,0.8559094725834909,0.06263498361513826
ENSG00000013016,0.21828585163738332,0.3749571847731494,0.7401582441970084
ENSG00000013275,0.781429145650513,0.8653011154704906,0.04672457011880303
ENSG00000013288,0.12819239898274695,0.2601751986439591,-0.2680432660537202
ENSG00000013297,0.2711024696478857,0.4358885238995313,1.1957958483752373
ENSG00000013306,0.4608027754684459,0.6242501074061786,-0.11426355025726595
ENSG00000013364,0.24768954456984493,0.409244122725218,-0.2251042169931542
ENSG00000013374,0.16690388933653172,0.3129054036082618,-0.17640989604607749
ENSG00000013375,0.5215248233786538,0.6762524805628144,0.15676161284118725
ENSG00000013392,0.8961128089715464,0.9393103652097948,0.07150812340154243
ENSG00000013441,0.04271006742499809,0.11776498598581017,0.6310199331658508
ENSG00000013503,0.9516757180089274,0.9737706912198287,0.03613568256296165
ENSG00000013523,0.6116257202638385,0.745695760279109,-0.07582746695904503
ENSG00000013561,0.0801127508850739,0.18642078182052424,-0.23566266872323272
ENSG00000013563,0.1985181685662686,0.3517221506833081,0.3060085494497273
ENSG00000013573,0.22576303861328567,0.38356797765996237,1.4634529328772308
ENSG00000013583,0.03154358319431933,0.09458464635340827,-0.37331413179729944
ENSG00000013588,0.0,0.0,-2.575192026564767
ENSG00000013619,0.018292544780752287,0.06286743297399754,1.400736630383068
ENSG00000013725,4.458276201675946e-06,6.796931834591937e-05,-2.0018618265456074
ENSG00000013810,7.046057231823756e-05,0.0007855615454192727,-1.0285243400384965
ENSG00000014123,0.6659078268127101,0.7854952125025606,0.07608776443212993
