,p_value,q_value,log2_fold_change
ENSG00000187634,0.1567288278662695,1.0,0.5385932699874957
ENSG00000188976,0.6458360415021503,1.0,0.05133624398321384
ENSG00000187961,0.6397049545720528,1.0,0.054925759445350664
ENSG00000187583,0.33634553940448636,1.0,0.33701561214512143
ENSG00000187642,0.2261532488794421,1.0,-1.7194668114393004
ENSG00000188290,0.7426291004579709,1.0,-0.07129936730196064
ENSG00000187608,0.42631610904326794,1.0,-1.0476710181134636
ENSG00000188157,0.9137956368111655,1.0,-0.294488346794386
ENSG00000131591,0.784884939557559,1.0,-0.05027789743460833
ENSG00000162571,0.19142808965722863,1.0,0.7127188215390736
ENSG00000186891,0.6044105533865234,1.0,-1.4394920411542753
ENSG00000186827,0.9283001671794863,1.0,-0.2696699435211982
ENSG00000078808,0.8199315723125035,1.0,-0.07509273897099726
ENSG00000176022,0.9086131669064894,1.0,-0.13733238242457044
ENSG00000160087,0.750511533924504,1.0,-0.025729864545994557
ENSG00000162572,0.3338383596876474,1.0,0.31738357231744235
ENSG00000131584,0.9906373335063953,1.0,-0.20501654633407582
ENSG00000169972,0.2954997369082707,1.0,0.3531454310631606
ENSG00000127054,0.5771528768258788,1.0,0.10026852031177166
ENSG00000224051,0.35089079744265056,1.0,0.29481130501039954
ENSG00000169962,0.08655005414875258,1.0,0.7148255701013912
ENSG00000107404,0.9456117298179633,1.0,-0.16024761528765846
ENSG00000162576,0.7673909719034043,1.0,-0.43243074928717923
ENSG00000175756,0.8349042637697256,1.0,-0.08415686154372187
ENSG00000221978,0.7123502352202457,1.0,-0.006774665790993237
ENSG00000242485,0.6843372871509847,1.0,0.02123122013015359
ENSG00000179403,0.9151765400291726,1.0,-0.19295529787254537
ENSG00000215915,0.5667844529618313,1.0,0.09753285859346306
ENSG00000160072,0.7134179887987611,1.0,0.00105567995636833
ENSG00000197785,0.8970598629010205,1.0,-0.12807933081714332
ENSG00000205090,0.5617666902322588,1.0,0.1044952801586384
ENSG00000160075,0.7822248207855296,1.0,-0.04584092943007769
ENSG00000197530,0.7251943049171666,1.0,-0.007318236864519473
ENSG00000189409,0.4027432949880604,1.0,-1.0289519325771947
ENSG00000248333,0.7881105670639353,1.0,-0.05301286127069864
ENSG00000189339,0.9663991933016213,1.0,-0.18220840981540729
ENSG00000215914,0.28243030127107593,1.0,-1.1954861345392276
ENSG00000008128,0.9661290249176115,1.0,-0.17634285559571236
ENSG00000215790,0.8939150111779486,1.0,-0.1273433038840444
ENSG00000008130,0.8172781551892194,1.0,-0.07997098026909072
ENSG00000078369,0.9533375893667798,1.0,-0.22208108416992373
ENSG00000169885,0.22341559722079993,1.0,0.5014567825201932
ENSG00000178821,0.13167509751864076,1.0,0.7151697337843329
ENSG00000187730,0.8632025082494412,1.0,-1.5114863413617161
ENSG00000067606,0.7405394394239471,1.0,-0.4495780321750818
ENSG00000162585,0.9926067332307721,1.0,-0.19382170714516944
ENSG00000157933,0.44094836739360216,1.0,0.19171443136162564
ENSG00000116151,0.9761855935929928,1.0,-0.23039548978894722
ENSG00000157916,0.8437415803916839,1.0,-0.09749989542993363
ENSG00000157911,0.9341780759469601,1.0,-0.1554331319846029
ENSG00000149527,0.8053702396659099,1.0,-0.4972958824971369
ENSG00000157881,0.8543721014139375,1.0,-0.09787180704878297
ENSG00000197921,0.4148297693458155,1.0,-0.31925039892615353
ENSG00000157873,0.599568822006233,1.0,0.07689697624685264
ENSG00000157870,0.719840773379599,1.0,-0.0062260427984318625
ENSG00000142606,0.9921938038590756,1.0,-0.21709330480056424
ENSG00000215912,0.9546817135468455,1.0,-0.32094776621908655
ENSG00000142611,0.7324016599622303,1.0,-0.07691275329764871
ENSG00000130762,0.523914367448919,1.0,0.11507899647713508
ENSG00000162591,0.6789584745014701,1.0,-0.5607136549058555
ENSG00000158109,0.6679311998128085,1.0,-0.45542974446660256
ENSG00000116213,0.8727107542956207,1.0,-0.11180132475557382
ENSG00000078900,0.5182761394741398,1.0,0.14137463461845945
ENSG00000162592,0.7189487660705153,1.0,-0.01653021515466646
ENSG00000235169,0.2873997838146049,1.0,0.39552379390125497
ENSG00000130764,0.8197662012932551,1.0,-0.07919026856823726
ENSG00000116198,0.9566884838556323,1.0,-0.17295252158468666
ENSG00000169598,0.36107157485684155,1.0,0.2863666429256408
ENSG00000198912,0.44669575788901983,1.0,0.20853053189714246
