,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10
GTEX-113IC-0006-SM-5NQ9C.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GTEX-111YS-0826-SM-5GZYK.1,0.0,0.0,1.0,2.5596419e-33,0.0,0.0,1.4876701e-26,0.0,0.0,1.54e-43
GTEX-111VG-2226-SM-5N9DU.1,4.9282362e-17,0.0,1.7456818e-28,8.4669407e-23,0.0,0.0,1.0,0.0,0.0,3.119948e-32
GTEX-111YS-0726-SM-5GZY8.1,1.0,0.0,0.0,0.0,0.0,0.0,4.4202976e-28,0.0,0.0,0.0
GTEX-111YS-2326-SM-5987L.1,0.0,1.0,0.0,0.0,1.2851e-41,0.0,0.0,0.0,1.423e-41,0.0
GTEX-111YS-0926-SM-5EGGI.1,2.3342684e-22,0.0,5.6182155e-28,6.484368e-26,0.0,0.0,1.0,0.0,0.0,1.1004998e-37
GTEX-111VG-0526-SM-5N9BW.1,1.0,0.0,0.0,1.1324807e-34,0.0,0.0,2.4105051e-09,0.0,0.0,0.0
GTEX-1122O-0226-SM-5N9DA.1,1.0,0.0,0.0,3.6193e-41,0.0,0.0,5.8673265e-20,0.0,0.0,0.0
GTEX-111FC-1026-SM-5GZX1.1,1.6835828e-29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-1128S-2726-SM-5H12C.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-111CU-2026-SM-5GZZC.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111YS-0326-SM-5GZZ3.1,0.0,0.0,0.0,0.0,0.4745411,0.0,0.0,0.0,0.5254615,0.0
GTEX-111FC-0126-SM-5N9DL.1,1.0,0.0,0.0,1.0959548e-36,0.0,0.0,3.4484932e-16,0.0,0.0,0.0
GTEX-111CU-1426-SM-5GZYP.1,1.0,0.0,0.0,2.7854935e-31,0.0,0.0,6.900969e-11,0.0,0.0,0.0
GTEX-1117F-3226-SM-5N9CT.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GTEX-113JC-0006-SM-5O997.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-1117F-0226-SM-5GZZ7.1,7.6603046e-17,0.0,2.5424117e-30,2.92839e-20,0.0,0.0,1.0,0.0,0.0,6.903586e-38
GTEX-111FC-0326-SM-5GZZ1.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0726-SM-5GZYD.1,3.2741517e-21,0.0,1.0043768e-31,1.1965873e-23,0.0,0.0,1.0,0.0,0.0,1.6806756e-37
GTEX-111YS-1626-SM-5GZZ9.1,1.314775e-39,0.0,5.475483e-35,1.0,0.0,0.0,2.6160694e-24,0.0,0.0,0.0
GTEX-111FC-0626-SM-5N9CU.1,0.0,0.0,1.8710564e-37,0.0,0.0,0.0,2.6967702e-36,0.0,0.0,1.0
GTEX-1128S-0005-SM-5P9HI.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTEX-111CU-0826-SM-5EGIJ.1,0.0,0.0,1.0,7.364486e-31,0.0,0.0,3.2483863e-29,0.0,0.0,2.4543826e-33
GTEX-111CU-1226-SM-5EGIN.1,0.0,0.0,1.0,2.2913711e-24,0.0,0.0,1.203034e-19,0.0,0.0,3.453271e-24
GTEX-111CU-0626-SM-5EGHL.1,0.0,0.0,1.0,9.0314925e-38,0.0,0.0,5.1562744e-35,0.0,0.0,3e-45
