,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12759261,0.015696842,-0.010216474,-0.02829959,-0.0044231494,0.00419665,0.08561359,0.016014269,-0.1456263,-0.0036754569,0.049640737,-0.053563945,0.018210653,-0.07443521,0.06582944,-0.04520876,-0.23820092,0.015661657,-0.0389246,0.012603755,-0.0027283025,-0.14267129,0.060674775,0.09337501,-0.05587145,-0.0498908,-0.0107010845,0.016029427,0.01913872,0.015261742,-0.021418529,0.015908645,-0.06936805,0.07260343,0.010752717,-8.146101e-05,0.019125989,-0.10988514,0.018019047,0.01474139,-0.0011551804,0.06295084,0.031671967,-0.06008223,-0.093890846,0.04816365,-0.027313074,-0.022555763,0.05943314,0.049173843
GTEX-111YS-0826-SM-5GZYK.1,0.07824046,-0.016697112,-0.0073092994,0.014484895,-0.018470053,0.0025885862,-0.09267649,-0.060946524,0.090917505,0.06390657,-0.019638652,0.03709772,-0.028587567,0.0040072775,-0.013219577,0.05507919,-0.11899901,-0.103714354,0.01642142,0.03045921,0.017010652,0.06575297,0.02289976,0.060846932,0.015953071,0.049513504,-0.0271107,-0.012468367,-0.013492993,0.0013128537,-0.008422885,-0.014752756,0.04179381,-0.06525211,-0.025145467,0.03225248,0.018941687,0.090913534,0.0071098567,-0.035962474,-0.06729907,0.03844277,-0.0162014,0.016366806,0.024397848,-0.032749094,0.013134878,0.029928286,-0.037687372,0.10218161
GTEX-111VG-2226-SM-5N9DU.1,0.063628994,-0.030792296,0.029629081,0.018832838,-0.03903222,-0.038632665,-0.04307718,-0.068656,-0.024912741,0.04839393,-0.031416856,0.04201825,-0.03853417,-0.056717355,0.023925398,0.054023214,-0.13186103,-0.056705635,0.013491226,-0.026488371,0.08828792,0.00210466,-0.0067313667,0.008851017,-0.020559268,0.007432799,-0.07022851,-0.057506613,-0.0027995142,0.029796885,-0.055575218,-0.053692386,0.054210015,-0.02589136,-0.072830305,0.0049288017,-0.018746195,0.08668575,0.018670289,0.0027525455,-0.05818679,0.11726468,-0.040203188,0.08938104,-0.017500186,-0.05393944,-0.04247652,0.06178124,-0.022646042,0.06164004
GTEX-111YS-0726-SM-5GZY8.1,-0.0021896034,-0.020963488,0.043184377,0.06108201,-0.022949303,-0.028831484,-0.079579346,0.03835792,0.049093418,-0.030345416,0.009168854,0.07251374,-0.078135304,-0.011245822,-0.016942235,-0.02145463,0.010173929,0.03416589,0.016276378,0.03365318,0.05812898,-0.007820687,-0.047146525,-0.08044419,-0.033786267,0.072498046,-0.013390498,-0.03817901,0.07559491,0.009178094,-0.06991843,-0.06349932,0.014376004,-0.018853301,0.053911485,-0.048153687,0.0021599624,0.0068854536,-0.0021011534,-0.061059415,-0.031951755,-0.047756393,-0.07397711,-0.027557263,0.024484443,-0.021407727,-0.010866254,0.12068808,-0.071221285,0.039597213
GTEX-111YS-2326-SM-5987L.1,0.07489749,-0.029297031,-0.019572478,0.0047922735,0.03272757,0.034845468,-0.07855164,0.008079362,0.124933876,0.008398195,0.011607125,-0.038831975,-0.02917725,0.06693866,-0.036066473,0.050990444,0.13881856,0.017078957,-0.027390521,0.03715094,-0.042242844,0.09124426,-0.014791856,-0.020782562,0.08127713,0.021600114,0.046991225,0.04200277,-0.041241568,-0.00917556,0.04968022,0.028402913,-0.015389974,-0.0035177327,0.037558336,0.026253585,-0.018263415,0.050355703,0.0031528964,0.034110837,-0.018507551,-0.05071643,0.033632424,0.019448744,0.024152907,0.016963674,0.049720425,-0.041723892,0.01934883,-0.016007986
GTEX-111YS-0926-SM-5EGGI.1,-0.16868274,0.10665676,0.011732967,-0.010908212,-0.051355783,-0.051619623,0.12749614,0.041099228,0.036080435,0.0062208767,-0.058055066,-0.0011385236,0.08606044,-0.030571535,0.063214265,-0.051048674,0.046008393,0.005199575,0.03726159,0.02581609,0.014810563,-0.07481122,0.12523639,-0.034093093,-0.06447162,0.06429841,-0.02869254,-0.07175962,0.07260158,-0.02707956,-0.015764412,-0.02726055,0.046724,-0.0072268187,-0.051009428,0.02847955,0.0753319,-0.08629724,-0.033005685,-0.11952681,0.10568343,-0.16950783,-0.027599229,-0.06543843,0.0124442205,-0.007243597,0.016054269,0.047667086,-0.05176638,-0.054924585
GTEX-111VG-0526-SM-5N9BW.1,-0.02577406,-0.0001458276,0.06483709,0.03138273,-0.024959626,-0.03791618,-0.054813888,0.007721636,-0.067953795,-0.0017371048,-0.035572827,0.05616592,-0.00024091247,-0.07503948,0.011362456,-0.019377403,-0.0474702,0.042201243,0.052299593,0.013139068,0.099155925,-0.059882306,-0.014715026,-0.058932364,-0.030307582,-0.014965484,-0.044435915,-0.035278637,0.06952355,0.06062581,-0.101630375,-0.08399266,-0.0024131075,0.047774967,0.037938286,-0.05642891,0.02668514,-0.034411337,-0.025667794,-0.047557503,-0.016987545,0.066671476,-0.08117392,0.053497657,-0.018800652,-0.04814146,-0.06398088,0.10817443,-0.048559256,0.003833019
GTEX-1122O-0226-SM-5N9DA.1,0.021008281,0.031095095,0.06375535,0.04007348,-0.019859305,-0.054888967,-0.04636475,-0.008628136,0.032120045,-0.025139553,-0.07514715,0.03374861,0.008240122,-0.022291154,-0.01903644,-0.042795826,0.05698585,-0.0060021183,0.05924698,0.03700087,0.054669373,-0.023303913,-0.0216067,-0.027128544,-0.008354799,0.013158842,-0.0016703012,-0.04121893,0.07988977,0.061797395,-0.07044567,-0.06800388,0.050242838,0.031226136,0.06692849,-0.058090147,0.038984038,0.0464121,-0.020001682,-0.07582998,0.03904788,0.073032826,-0.09605907,0.037495486,0.017799065,-0.07812748,-0.048284046,0.065445565,-0.07071084,-0.048786514
GTEX-111FC-1026-SM-5GZX1.1,0.0015668016,-0.034194972,0.05513566,0.053083282,-0.049173467,-0.04650891,-0.07639866,-0.023773495,-0.015059158,-0.06148851,-0.02749606,0.07824384,-0.050404176,-0.0515746,0.00021332508,-0.010298047,0.020358078,0.0021413,0.045516547,0.09323922,0.08352501,-0.0392651,-0.06899535,-0.09055413,-0.009248928,0.00994542,-0.011165876,-0.048542168,0.06535892,-0.021657197,-0.1188304,-0.09644311,0.009989543,0.06204205,0.05562571,-0.054672018,0.024245895,0.03388453,-0.043150365,-0.037511747,-0.047916733,0.0073406575,-0.09097783,0.048334092,0.07480592,-0.030394124,-0.044659745,0.13902749,-0.05630566,-0.011261036
GTEX-1128S-2726-SM-5H12C.1,0.12172472,0.0062818592,0.030191977,0.08210184,-0.03472117,-0.055974733,-0.015538265,-0.05252054,-0.023664692,-0.012804605,-0.0461848,0.10717641,-0.09820352,-0.034204066,-0.06956166,-0.04077889,0.07681975,-0.004613914,0.07705729,-0.004124082,0.077488236,0.07434674,-0.123711,0.0064684427,0.02604122,0.05169812,-0.055424508,-0.0467525,0.03775525,-0.045358825,-0.08310163,-0.12921509,0.04051505,-0.12375765,-0.04107139,-0.13173907,0.0052327137,0.059966575,-0.060250744,-0.0055288924,-0.0023150144,-0.049228728,-0.08153747,0.04168354,0.109011635,-0.056476884,-0.015089986,0.10439712,-0.057102643,0.01751237
GTEX-111CU-2026-SM-5GZZC.1,0.02647202,-0.022213222,-0.051195785,-0.036550142,0.03752616,0.031525493,-0.04102865,0.05245593,0.027693655,-0.0048112,0.044080984,-0.04382993,-0.0841758,0.055789087,-0.031490654,-0.018108098,0.08271089,0.023699747,-0.05460975,-0.014299729,-0.046491295,0.03856073,-0.13299835,0.089161895,0.11665065,0.011814388,0.081674635,0.042790852,-0.034000143,-0.027078388,0.05411111,0.039133813,-0.016754003,-0.020103566,-0.006083871,0.013657635,-0.03657885,0.018455077,-0.020884648,0.039210834,0.098552175,0.041135296,0.043745294,0.007293367,0.024049152,0.031596877,0.03849763,-0.051925566,0.030026551,-0.06424113
GTEX-111YS-0326-SM-5GZZ3.1,0.16066767,-0.11093924,0.035247996,0.090449,0.004420839,0.0049813003,-0.17778093,-0.039408635,0.055016067,0.039513625,-0.048294432,0.0030173203,0.053934064,0.008232922,-0.081171066,0.0028224401,-0.10332202,0.026442302,0.011975162,-0.013202571,0.0039413483,0.15442082,0.17456391,-0.09740238,-0.039811727,-0.0064546033,-0.044406768,0.0007730864,-0.030742088,0.023279356,0.0019952676,-0.012940482,-0.0009376255,0.0063056527,0.028333208,0.028280728,0.02055582,0.02828993,0.030561127,0.1045734,-0.1342512,0.08377796,0.00032135137,0.06918265,0.012213053,0.0060391445,-0.05725093,-0.016592305,0.022812815,0.038678035
GTEX-111FC-0126-SM-5N9DL.1,-0.09970095,0.08876423,0.012696566,0.011408739,-0.055041023,-0.06728654,0.07235879,-0.007444639,0.032600183,-0.030349534,-0.07508369,0.042304184,0.06872071,-0.016868668,-0.030891493,-0.09436789,0.13429639,-0.037818648,0.10293435,0.044093292,0.035886712,-0.040707987,0.06872433,-0.016818605,-0.035204858,0.0365583,-0.037414502,-0.08683028,0.09578694,-0.07363014,-0.030254448,-0.057224236,0.02708077,-0.005539164,-0.062596396,-0.059727408,0.062017135,-0.018419147,-0.09650224,-0.08013225,0.11035235,-0.16219562,-0.07604374,-0.06750561,0.048821714,-0.0104211075,-0.027853874,0.08576442,-0.0838611,-0.039337464
GTEX-111CU-1426-SM-5GZYP.1,-0.15537865,0.0989095,0.020275114,0.021697586,-0.07563112,-0.06460261,0.119825274,0.009530561,-0.09520506,-0.031657133,-0.038480517,0.027134033,0.094375946,-0.067825064,0.042345528,-0.08546288,-0.005267237,0.024548674,0.06799509,-0.0033885858,0.06359279,-0.11806535,0.036514502,-0.03487528,-0.083354786,-0.009482847,-0.051095534,-0.07330806,0.075475566,0.004492355,-0.08840104,-0.064295836,0.022247134,0.01613031,-0.019392926,-0.05276979,0.06929816,-0.06912768,-0.06404084,-0.0632506,0.09509439,-0.057974722,-0.08068475,-0.03203989,0.04812489,-0.015606594,-0.07156949,0.08605466,-0.06004225,-0.041326575
GTEX-1117F-3226-SM-5N9CT.1,0.113240525,0.009257685,0.09251252,0.08327716,-0.048515484,-0.07473004,0.01363307,-0.04064514,-0.09480086,-0.023593832,-0.0810468,0.10497229,-0.03213338,-0.06956708,-0.043818403,-0.08757871,0.08281898,0.008664577,0.10217216,-0.053621434,0.08917534,0.044094957,-0.1137412,0.0046268594,-0.01828493,-0.0074784104,-0.08208086,-0.055802055,0.08183458,-0.0155345015,-0.109056436,-0.14577806,0.037444506,-0.09659732,-0.03015449,-0.14791399,0.044688296,0.056197107,-0.09064887,0.02579892,-0.013234061,-0.002385526,-0.098992705,0.051682904,0.08366022,-0.06562109,-0.055182293,0.093967885,-0.051350664,-0.04220303
GTEX-113JC-0006-SM-5O997.1,-0.059083793,0.0036666135,-0.05967974,-0.07474569,0.080272175,0.0799556,0.005675713,0.0721359,-0.019136919,0.02490542,0.06742044,-0.069618456,0.022544578,0.0667034,0.06311353,0.0062152604,0.027833078,0.06960149,-0.050128568,0.016814036,-0.08448712,-0.053749993,0.020462109,-0.074959695,-0.00802659,-0.06389056,0.06147877,0.07602059,-0.06709097,-0.013602909,0.08872353,0.08939723,-0.08558476,0.0471754,0.026652213,0.06398778,-0.06811799,-0.08755467,0.05105725,0.019703865,-0.05967003,-0.07963165,0.084631614,-0.064378835,-0.08482554,0.08016861,0.07148147,-0.09654478,0.07986799,-0.013461153
