epoch,-log p_dens(z_train),-log p_dens(x_train|z_train),loss_train,-log p_dens(z_test),-log p_dens(x_test|z_test),loss_test
1,0.0,147962.1282637469,147962.1282637469,0.0,144613.44379465,144613.44379465
2,0.0,146193.7557003413,146193.7557003413,0.0,142844.74673573574,142844.74673573574
3,0.0,144313.64813912264,144313.64813912264,0.0,140676.90287253805,140676.90287253805
4,0.0,142020.87867284458,142020.87867284458,0.0,137947.59907225095,137947.59907225095
5,0.0,139142.87376294087,139142.87376294087,0.0,134582.97533672053,134582.97533672053
6,0.0,135596.36878274192,135596.36878274192,0.0,130703.31886738785,130703.31886738785
7,0.0,131436.33779825203,131436.33779825203,0.0,126823.47332652815,126823.47332652815
8,0.0,127088.27998215672,127088.27998215672,0.0,124230.64526734322,124230.64526734322
9,0.0,123796.73592691231,123796.73592691231,0.0,124770.41952035554,124770.41952035554
10,0.0,123283.07846252146,123283.07846252146,0.0,125577.40347484892,125577.40347484892
11,0.0,123147.84121655721,123147.84121655721,0.0,122828.5104304739,122828.5104304739
12,0.0,120438.3974142706,120438.3974142706,0.0,120162.30505147175,120162.30505147175
13,0.0,118384.58835112449,118384.58835112449,0.0,119678.91299526575,119678.91299526575
14,0.0,118586.64891179818,118586.64891179818,0.0,120442.94784763061,120442.94784763061
15,0.0,119850.06751832824,119850.06751832824,0.0,121225.48348300111,121225.48348300111
16,0.0,120887.2419631855,120887.2419631855,0.0,121440.5203900888,121440.5203900888
17,0.0,121156.22978999904,121156.22978999904,0.0,120971.09502377239,120971.09502377239
18,0.0,120566.86686776836,120566.86686776836,0.0,119949.81392275717,119949.81392275717
19,0.0,119264.19079351697,119264.19079351697,0.0,118808.69530642092,118808.69530642092
20,0.0,117669.44370187781,117669.44370187781,0.0,118289.98700014208,118289.98700014208
21,0.0,116623.46278524857,116623.46278524857,0.0,118338.70883892351,118338.70883892351
22,0.0,116491.90651487267,116491.90651487267,0.0,117820.66206570866,117820.66206570866
23,0.0,116279.09095207021,116279.09095207021,0.0,117343.00430416633,117343.00430416633
24,0.0,116067.48597832702,116067.48597832702,0.0,117350.73799217504,117350.73799217504
25,23.6562451171875,116057.2313003353,116080.8875454525,-152.0761328125,116848.64618824024,116696.57005542774
26,3.3855718994140624,115373.43251049769,115376.81808239709,-152.39330078125,116578.52610030932,116426.13279952807
27,-13.068336181640625,115432.3939023313,115419.32556614965,-145.597587890625,116211.60668291755,116066.00909502692
28,-25.2148779296875,114564.54118829555,114539.32631036587,-150.67587890625,116052.93462255703,115902.25874365079
29,-57.8637890625,114476.37403417099,114418.5102451085,-155.04009765625,115535.44315547694,115380.40305782069
30,-78.2296142578125,113842.8259635162,113764.59634925838,-153.7713671875,115052.39611233391,114898.62474514642
31,-95.167861328125,113330.08559305631,113234.91773172819,-152.325595703125,114278.48264555838,114126.15704985526
32,-107.836728515625,112649.34847970844,112541.51175119281,-152.95505859375,113798.88862855159,113645.93356995784
33,-110.23658203125,112004.13743617594,111893.9008541447,-151.35580078125,113930.17914300441,113778.82334222317
34,-117.07876953125,111808.4682960538,111691.38952652254,-148.739296875,113386.11881848103,113237.37952160602
35,-117.62888671875,111502.71192899719,111385.08304227843,-150.56435546875,113215.03873162404,113064.47437615528
36,-118.374296875,111311.78646227052,111193.41216539552,-150.3799609375,113101.27949862051,112950.89953768301
37,-125.648427734375,111393.13596216356,111267.4875344292,-143.4876171875,112416.38284632005,112272.89522913255
38,-125.280712890625,110532.68249902615,110407.40178613552,-139.939375,112226.67922467437,112086.73984967437
39,-128.00705078125,110570.38303196162,110442.37598118038,-142.69421875,112348.82034912414,112206.12613037415
40,-125.72361328125,110371.16796027817,110245.44434699691,-136.61470703125,111955.64076103989,111819.02605400865
41,-130.7795703125,109893.48399486564,109762.70442455314,-125.3195703125,111252.73940130188,111127.41983098937
42,-126.84025390625,109202.62163516368,109075.78138125743,-124.393525390625,110777.3156584061,110652.92213301548
43,-129.71423828125,108710.85900477291,108581.14476649165,-124.19267578125,110785.15534765937,110660.96267187811
44,-128.3498828125,108805.4594149348,108677.1095321223,-122.5823828125,110200.83743314471,110078.25505033221
45,-128.937060546875,108099.7942934597,107970.85723291282,-123.006259765625,110425.92986265155,110302.92360288592
