,latent_dim_1,latent_dim_2,latent_dim_3,latent_dim_4,latent_dim_5,latent_dim_6,latent_dim_7,latent_dim_8,latent_dim_9,latent_dim_10,latent_dim_11,latent_dim_12,latent_dim_13,latent_dim_14,latent_dim_15,latent_dim_16,latent_dim_17,latent_dim_18,latent_dim_19,latent_dim_20,latent_dim_21,latent_dim_22,latent_dim_23,latent_dim_24,latent_dim_25,latent_dim_26,latent_dim_27,latent_dim_28,latent_dim_29,latent_dim_30,latent_dim_31,latent_dim_32,latent_dim_33,latent_dim_34,latent_dim_35,latent_dim_36,latent_dim_37,latent_dim_38,latent_dim_39,latent_dim_40,latent_dim_41,latent_dim_42,latent_dim_43,latent_dim_44,latent_dim_45,latent_dim_46,latent_dim_47,latent_dim_48,latent_dim_49,latent_dim_50
GTEX-113IC-0006-SM-5NQ9C.1,-0.12757247686386108,0.01558615081012249,-0.010289233177900314,-0.028341354802250862,-0.004374530166387558,0.004289509728550911,0.08555228263139725,0.016090797260403633,-0.14568887650966644,-0.0036895577795803547,0.04974411427974701,-0.053638260811567307,0.018123334273695946,-0.07438665628433228,0.065831258893013,-0.045308664441108704,-0.23840555548667908,0.01568625681102276,-0.03903527930378914,0.012881625443696976,-0.002804935909807682,-0.14269128441810608,0.060621485114097595,0.09357020258903503,-0.05580945312976837,-0.04995439946651459,-0.010582061484456062,0.0161115899682045,0.019038036465644836,0.015193487517535686,-0.02133478969335556,0.015956072136759758,-0.06947702914476395,0.07271376252174377,0.010828249156475067,-3.8541675166925415e-05,0.019053803756833076,-0.1099194809794426,0.018006615340709686,0.01493959128856659,-0.0012340054381638765,0.06306478381156921,0.03175819665193558,-0.06010089069604874,-0.09396141767501831,0.048264939337968826,-0.027283580973744392,-0.022638918831944466,0.05951510742306709,0.049258019775152206
GTEX-111YS-0826-SM-5GZYK.1,0.07906822115182877,-0.015868686139583588,-0.007336656097322702,0.014121174812316895,-0.01815217174589634,0.0026800259947776794,-0.09391576051712036,-0.06166820600628853,0.09193367511034012,0.06445898115634918,-0.020034030079841614,0.03693802282214165,-0.029781166464090347,0.004494356922805309,-0.013857058249413967,0.05603475123643875,-0.11692529916763306,-0.10408823192119598,0.01684289425611496,0.030074458569288254,0.016806887462735176,0.06607639044523239,0.021681539714336395,0.06184115633368492,0.016483323648571968,0.04963838309049606,-0.02688910812139511,-0.012457422912120819,-0.013801174238324165,0.002488194964826107,-0.00791863352060318,-0.014578350819647312,0.04244840517640114,-0.06482585519552231,-0.025150418281555176,0.03282368555665016,0.01830742135643959,0.09252085536718369,0.006514018401503563,-0.036383166909217834,-0.06574088335037231,0.04039129614830017,-0.01626928523182869,0.016618186607956886,0.024448299780488014,-0.0332266166806221,0.013310826383531094,0.02986275963485241,-0.0378430001437664,0.10175235569477081
GTEX-111VG-2226-SM-5N9DU.1,0.06393148005008698,-0.03003820590674877,0.029531171545386314,0.01813945733010769,-0.03888464346528053,-0.03849322348833084,-0.043566156178712845,-0.06811624765396118,-0.024240458384156227,0.047955725342035294,-0.030874595046043396,0.04217630624771118,-0.038226790726184845,-0.05671802908182144,0.02268502116203308,0.053886666893959045,-0.13192522525787354,-0.05774742737412453,0.013439391739666462,-0.025050543248653412,0.08791845291852951,0.00242751557379961,-0.007365893572568893,0.010289189405739307,-0.020069217309355736,0.007409576326608658,-0.06947686523199081,-0.05710313841700554,-0.0026932084001600742,0.030356915667653084,-0.05567925423383713,-0.053045980632305145,0.05402841418981552,-0.02597910538315773,-0.07181480526924133,0.005013644695281982,-0.01817883923649788,0.08674614131450653,0.018078619614243507,0.001921469927765429,-0.05649883672595024,0.11764880269765854,-0.03995008394122124,0.08833110332489014,-0.017136435955762863,-0.05417226254940033,-0.04231201484799385,0.06142795830965042,-0.023145470768213272,0.06219501793384552
GTEX-111YS-0726-SM-5GZY8.1,-0.0018051413353532553,-0.021010160446166992,0.042140621691942215,0.0612102746963501,-0.02183731645345688,-0.02875586226582527,-0.0806039497256279,0.03762207552790642,0.04966111108660698,-0.031037399545311928,0.009199254214763641,0.07292019575834274,-0.0774763822555542,-0.011159299872815609,-0.01732056774199009,-0.020046843215823174,0.010733267292380333,0.03446177393198013,0.01613195240497589,0.034507326781749725,0.05841226503252983,-0.007143221329897642,-0.04697103798389435,-0.08257166296243668,-0.0337042510509491,0.07334408164024353,-0.013060616329312325,-0.03791942447423935,0.0752253383398056,0.009804343804717064,-0.06977449357509613,-0.06329470127820969,0.014373498037457466,-0.020166395232081413,0.0549018457531929,-0.04839152842760086,0.001933254417963326,0.006716490723192692,-0.0016414301935583353,-0.06175770238041878,-0.03244713321328163,-0.04763227328658104,-0.07325267791748047,-0.02657456323504448,0.02371794916689396,-0.021937664598226547,-0.010907648131251335,0.12104153633117676,-0.07095048576593399,0.04072239249944687
GTEX-111YS-2326-SM-5987L.1,0.07505522668361664,-0.029580505564808846,-0.019364308565855026,0.00510650547221303,0.03285443037748337,0.03490985929965973,-0.0785660520195961,0.0074886661022901535,0.12560653686523438,0.008168144151568413,0.011629697866737843,-0.038780905306339264,-0.029501326382160187,0.06716287136077881,-0.03679289296269417,0.05119894817471504,0.14026802778244019,0.01664304919540882,-0.027112243697047234,0.040262218564748764,-0.04223063588142395,0.09102601557970047,-0.015832489356398582,-0.022632086649537086,0.0816454291343689,0.02121378853917122,0.047014228999614716,0.041770290583372116,-0.04123261570930481,-0.0097206961363554,0.04971136897802353,0.028406307101249695,-0.015599677339196205,-0.002263067290186882,0.03786337748169899,0.026360685005784035,-0.01855706050992012,0.05039557069540024,0.0029969478491693735,0.033880461007356644,-0.018580280244350433,-0.050066955387592316,0.033508844673633575,0.01925463229417801,0.02403220906853676,0.017122432589530945,0.04985867440700531,-0.04177093878388405,0.019274473190307617,-0.015126455575227737
GTEX-111YS-0926-SM-5EGGI.1,-0.16926738619804382,0.10735728591680527,0.010990484617650509,-0.011072237975895405,-0.051665157079696655,-0.051831964403390884,0.1278713196516037,0.04070139676332474,0.03511662408709526,0.004619520157575607,-0.05801857262849808,-0.0008716358570381999,0.08684134483337402,-0.030589839443564415,0.06192552670836449,-0.05183568224310875,0.04729846119880676,0.004560648463666439,0.038055840879678726,0.02540559507906437,0.014738239347934723,-0.07520516961812973,0.1250191479921341,-0.033675868064165115,-0.06513986736536026,0.06279519945383072,-0.02868862822651863,-0.07196252793073654,0.07263874262571335,-0.02714897319674492,-0.015791485086083412,-0.02702694572508335,0.04611055180430412,-0.006963372230529785,-0.0510852225124836,0.027650341391563416,0.07564166188240051,-0.0860973447561264,-0.03471078351140022,-0.11947207897901535,0.10641954839229584,-0.16990000009536743,-0.027804844081401825,-0.06606173515319824,0.012866049073636532,-0.0070729563012719154,0.014819461852312088,0.04770052060484886,-0.05242925137281418,-0.054616305977106094
GTEX-111VG-0526-SM-5N9BW.1,-0.025476325303316116,-0.00014574795204680413,0.06454896926879883,0.0322224460542202,-0.024697281420230865,-0.037927642464637756,-0.054397933185100555,0.007366546895354986,-0.06715427339076996,-0.003241203259676695,-0.03620852530002594,0.05578300356864929,-0.0007046772516332567,-0.07470742613077164,0.011462567374110222,-0.018695738166570663,-0.045745231211185455,0.042163196951150894,0.05218078941106796,0.012267876416444778,0.09866379201412201,-0.05949046462774277,-0.014813612215220928,-0.05984356254339218,-0.030696863308548927,-0.014235753566026688,-0.043574437499046326,-0.035056568682193756,0.06909670680761337,0.06056660786271095,-0.10129879415035248,-0.08405467122793198,-0.0017974533839151263,0.04684959352016449,0.038822416216135025,-0.056419264525175095,0.025957297533750534,-0.03369339182972908,-0.025522656738758087,-0.047461748123168945,-0.01739404909312725,0.06609182059764862,-0.08102228492498398,0.05314122140407562,-0.018070530146360397,-0.048404283821582794,-0.06371263414621353,0.1079382449388504,-0.047924235463142395,0.003170279087498784
GTEX-1122O-0226-SM-5N9DA.1,0.02035042829811573,0.03190016373991966,0.06378885358572006,0.03925776109099388,-0.020991060882806778,-0.055422160774469376,-0.04662856087088585,-0.009333299472928047,0.03142301365733147,-0.02670052833855152,-0.07641435414552689,0.0327327623963356,0.008805638179183006,-0.023279666900634766,-0.01677248813211918,-0.042431969195604324,0.05666796863079071,-0.007053832523524761,0.0593041367828846,0.0408904068171978,0.05573451519012451,-0.024898579344153404,-0.02085360884666443,-0.02795732207596302,-0.0071856300346553326,0.011977210640907288,-0.0015437958063557744,-0.04157372936606407,0.07941754162311554,0.063561350107193,-0.07116386294364929,-0.06892179697751999,0.049741845577955246,0.034342218190431595,0.06752350926399231,-0.05784520506858826,0.03948748856782913,0.04693318530917168,-0.021666182205080986,-0.0767487958073616,0.03949986398220062,0.07467211782932281,-0.09734391421079636,0.0393771268427372,0.018267640843987465,-0.07866843044757843,-0.04902200028300285,0.06564991921186447,-0.07104644924402237,-0.0494791679084301
GTEX-111FC-1026-SM-5GZX1.1,0.001672085258178413,-0.03327023237943649,0.05542805418372154,0.05329841375350952,-0.048141807317733765,-0.04638030007481575,-0.07629965245723724,-0.023476729169487953,-0.014037678018212318,-0.06009650602936745,-0.028548825532197952,0.07730837911367416,-0.049642112106084824,-0.051243312656879425,-0.00040859990986064076,-0.009808064438402653,0.020944448187947273,0.002349833957850933,0.04516240581870079,0.09192799776792526,0.08313404023647308,-0.03840501978993416,-0.06802329421043396,-0.09037912636995316,-0.009191994555294514,0.010177570395171642,-0.011187204159796238,-0.04839666187763214,0.06499864161014557,-0.019316107034683228,-0.11778013408184052,-0.09594199061393738,0.010699277743697166,0.06117589399218559,0.056055277585983276,-0.05450146645307541,0.023861976340413094,0.033789798617362976,-0.04240284115076065,-0.03788937255740166,-0.04629357159137726,0.00773122813552618,-0.0906069278717041,0.047847453504800797,0.07375051826238632,-0.031188474968075752,-0.044539328664541245,0.13802973926067352,-0.05606372281908989,-0.01149655133485794
GTEX-1128S-2726-SM-5H12C.1,0.121658556163311,0.006297754589468241,0.031063910573720932,0.08204968273639679,-0.03476296737790108,-0.05602700263261795,-0.01497643906623125,-0.052529532462358475,-0.024846917018294334,-0.01309820357710123,-0.04641233757138252,0.10722947865724564,-0.09731022268533707,-0.03444468975067139,-0.06941752135753632,-0.04129435494542122,0.07691077888011932,-0.004515368025749922,0.07719212770462036,-0.004416630603373051,0.07750266045331955,0.07432975620031357,-0.12364531308412552,0.006257118657231331,0.025898195803165436,0.051123179495334625,-0.055640626698732376,-0.04685920476913452,0.038088683038949966,-0.04531382769346237,-0.08330779522657394,-0.12930993735790253,0.040529992431402206,-0.12372588366270065,-0.04107179120182991,-0.1317979246377945,0.0055456943809986115,0.05991921201348305,-0.06039632484316826,-0.00518921110779047,-0.002570921089500189,-0.04896661639213562,-0.0816413164138794,0.04170093312859535,0.10899016261100769,-0.05647744983434677,-0.01537942886352539,0.10443461686372757,-0.0569729246199131,0.016788361594080925
